GISJOIN,elevation_mean
G0100010,109.36021423339844
G0101150,206.5056610107422
G0100630,52.07131576538086
G0101050,88.66300201416016
G0100135,135.68035888671875
G0101010,90.67042541503906
G0100710,287.2247009277344
G0100030,46.243038177490234
G0100590,223.09619140625
G0100670,93.39643096923828
G0100890,229.41078186035156
G0100250,66.57872772216797
G0101310,57.20475387573242
G0100130,106.61056518554688
G0100970,29.988306045532227
G0100790,205.1856689453125
G0101170,174.20542907714844
G0100830,210.01731872558594
G0100470,57.75338363647461
G0100350,74.55719757080078
G0100090,240.2904510498047
G0100715,198.07952880859375
G0101290,49.75031280517578
G0100730,167.4271697998047
G0100375,220.97203063964844
G0101250,110.12022399902344
G0100990,69.57322692871094
G0100910,51.66812515258789
G0100770,192.681884765625
G0100930,167.6734619140625
G0900150,139.65829467773438
G0900030,95.965057373046875
G0900110,65.67632293701172
G0900070,84.17448425292969
G0900010,114.47108459472656
G0900050,278.2380676269531
G0900130,183.5438232421875
G0900090,92.59717559814453
G1000030,27.667770385742188
G1000010,11.864845275878906
G1000050,9.638558387756348
G1100015,47.165061950683594
G1301950,216.46112060546875
G1300010,45.880226135253906
G1302210,184.71939086914062
G1301330,171.6884307861328
G1302890,118.59982299804688
G1301810,121.85940551757812
G1300510,3.095560312271118
G1301410,147.36009216308594
G1301390,345.2851257324219
G1302970,245.2857208251953
G1301630,100.75609588623047
G1302350,95.44855499267578
G1301690,147.9051055908203
G1301070,76.95008850097656
G1303190,100.04691314697266
G1300990,60.580116271972656
G1301535,249.05233764648438
G1303010,144.82569885253906
G1302710,68.78900146484375
G1301590,176.73678588867188
G1300330,76.97872161865234
G1302090,65.18695068359375
G1300590,211.49078369140625
G1302410,702.7034912109375
G1303050,16.704843521118164
G1301570,249.08694458007812
G1300090,120.33870697021484
G1300290,11.780734062194824
G1300730,119.53996276855469
G1301030,22.069368362426758
G1300310,50.6439323425293
G1301910,6.8305888175964355
G1302370,148.24456787109375
G1301750,82.10758209228516
G1301190,239.42881774902344
G1301350,301.5304260253906
G1300390,13.91783618927002
G1301050,182.48924255371094
G1302110,184.86891174316406
G1301370,471.3992919921875
G1302670,47.54365921020508
G1303170,153.13221740722656
G1302450,89.43450164794922
G1303030,109.62754821777344
G1301550,76.8508529663086
G1302510,46.75702667236328
G1301790,14.485538482666016
G1301270,2.9687259197235107
G1701570,141.94105529785156
G1700050,188.95140075683594
G1700550,136.95391845703125
G1700810,154.41717529296875
G1700230,205.08456420898438
G1701890,143.3223876953125
G1701330,160.4612579345703
G1701810,152.1603240966797
G1701930,127.23878479003906
G1700737,238.28826904296875
G1701190,190.15298461914062
G1700590,125.311767578125
G1700330,160.36618041992188
G1700470,136.37928771972656
G1701910,135.56748962402344
G1700870,140.33529663085938
G1701630,143.26925659179688
G1701510,145.4170379638672
G1700770,138.47586059570312
G1700030,114.90421295166016
G1800695,239.7989959716797
G1800270,173.35301208496094
G1801770,319.4554443359375
G1801010,171.84103393554688
G1800790,215.25601196289062
G1800710,192.2762451171875
G1800350,262.35797119140625
G1800290,239.0860137939453
G1801550,233.8584747314453
G1801050,219.7675018310547
G1800250,202.3489990234375
G1800610,213.67074584960938
G1801290,124.11845397949219
G1800930,199.49920654296875
G1801530,157.6540985107422
G1801730,125.73600769042969
G1801230,170.88449096679688
G1800430,218.23155212402344
G1801250,147.15780639648438
G1800470,281.3336486816406
G1801470,133.24813842773438
G1800370,163.3590087890625
G1801350,293.930419921875
G1800510,134.75152587890625
G1800190,178.8304443359375
G1800410,293.5828857421875
G1801370,286.87176513671875
G1801190,197.33792114257812
G1801675,224.8103790283203
G1801630,129.1549835205078
G1801430,187.64077758789062
G1800830,139.9842987060547
G1801670,171.5634765625
G1801750,231.34503173828125
G1801170,207.83889770507812
G1800770,231.76536560058594
G2101210,395.04071044921875
G2100310,156.21151733398438
G2101830,149.97364807128906
G2100090,233.89906311035156
G2101370,321.6014404296875
G2100170,270.8518371582031
G2100470,172.80496215820312
G2102190,190.6534881591797
G2100290,176.2759552001953
G2101990,321.1451416015625
G2100710,346.9316711425781
G2100490,271.4791259765625
G2100930,218.3470458984375
G2101390,122.04150390625
G2100590,129.09927368164062
G2102310,326.8385314941406
G2101610,253.34934997558594
G2100110,285.2233581542969
G2102270,179.87161254882812
G2100010,269.3039245605469
G2101790,197.1878662109375
G2102390,253.9307861328125
G2102110,232.80772399902344
G2100970,244.5740203857422
G2101510,286.5639953613281
G2101070,132.75706481933594
G2100870,237.6650848388672
G2101910,224.21279907226562
G2101770,140.22059631347656
G2100770,213.28663635253906
G2102350,364.79150390625
G2102290,237.8538818359375
G2100650,296.2652893066406
G2100330,141.43540954589844
G2100150,227.93148803710938
G2101730,301.44683837890625
G2100670,288.9978942871094
G2100890,251.83091735839844
G2101810,256.6633605957031
G2100790,283.07098388671875
G2101350,269.1221923828125
G2102030,354.6158447265625
G2100570,252.8287811279297
G2100810,248.23968505859375
G2102090,267.0462951660156
G2101710,254.12860107421875
G2100850,192.07691955566406
G2100950,597.398193359375
G2101130,271.658935546875
G2100510,390.2900085449219
G2100990,213.67611694335938
G2102130,206.47210693359375
G2100230,240.92086791992188
G2100270,181.71087646484375
G2101670,268.7816467285156
G2100730,231.80751037597656
G2101410,182.81216430664062
G2102210,149.75685119628906
G2100450,313.7539367675781
G2101030,233.33395385742188
G2101010,123.09602355957031
G2102250,122.4667739868164
G2100030,213.3519744873047
G2100370,223.4240264892578
G2100690,273.05828857421875
G2101870,240.43898010253906
G2101110,180.90957641601562
G2200250,27.7297420501709
G2200870,0.08442571014165878
G2200730,34.84431838989258
G2200075,1.91470205783844
G2200470,3.414884567260742
G2200070,1.2159513235092163
G2200290,19.029403686523438
G2200690,66.35382843017578
G2200770,8.328971862792969
G2200790,50.48551940917969
G2201250,52.063018798828125
G2200890,0.33696722984313965
G2200570,0.10912415385246277
G2200970,15.770575523376465
G2201170,62.55966567993164
G2200930,1.2170604467391968
G2201030,15.961174011230469
G2201210,4.18075704574585
G2200090,14.639596939086914
G2200950,0.8351399898529053
G2200710,-0.07783476263284683
G2200330,18.038408279418945
G2200050,2.7568306922912598
G2200750,-0.1744820922613144
G2200910,28.692869186401367
G2300050,87.43599700927734
G2300290,109.94523620605469
G2300250,349.9289245605469
G2300190,228.56063842773438
G2300090,86.5319595336914
G2300170,414.4275817871094
G2300310,92.55924987792969
G2300150,53.32865524291992
G2300110,99.06470489501953
G2400250,93.37849426269531
G2400410,8.111529350280762
G2400170,33.7099609375
G2400350,14.126757621765137
G2400050,143.97799682617188
G2400210,184.54388427734375
G2400290,13.588325500488281
G2400150,51.44711685180664
G2400030,67.31949615478516
G2400370,22.35685157775879
G2400190,3.1230828762054443
G2400470,8.388211250305176
G2400110,13.388741493225098
G2400390,4.127413272857666
G2400090,24.335739135742188
G2400310,123.79988098144531
G2400010,603.98077392578125
G2400330,45.76897048950195
G2405100,25.35342025756836
G2400430,194.030029296875
G2500030,430.3150329589844
G2500210,54.71415328979492
G2500050,29.050870895385742
G2500090,26.102134704589844
G2500230,23.88496208190918
G2500170,68.558197021484375
G2500110,257.8019714355469
G2500010,16.69312858581543
G2500130,196.0525665283203
G2500150,223.40867614746094
G2500250,7.622955322265625
G2500270,216.43276977539062
G2500190,7.805264472961426
G2500070,16.061931610107422
G2800910,87.036041259765625
G2800410,53.1147575378418
G2800210,55.0541877746582
G2800950,82.4380111694336
G2800010,54.16605758666992
G2801530,75.44911193847656
G2800050,107.3648681640625
G2800535,94.44258117675781
G2800630,80.467498779296875
G2800590,24.62200927734375
G2800370,101.01744842529297
G2801130,110.56427001953125
G2800310,90.97785186767578
G2801490,43.08139419555664
G2800770,110.24584197998047
G2800450,40.6962776184082
G2801570,67.200958251953125
G2801110,60.0172119140625
G3300170,222.7584686279297
G3300090,448.0748291015625
G3300150,106.92080688476562
G3300070,558.3780517578125
G3300110,223.63775634765625
G3300050,335.3561096191406
G3400030,107.91597747802734
G3400270,195.17996215820312
G3400110,13.846946716308594
G3400090,3.1895101070404053
G3400250,26.54617691040039
G3400190,110.13758850097656
G3400130,55.73940658569336
G3400050,20.17841339111328
G3400230,25.515233993530273
G3400330,15.775453567504883
G3400150,19.86730194091797
G3400350,60.20710754394531
G3400370,218.90606689453125
G3600750,174.4796600341797
G3600850,20.706178665161133
G3600870,138.78414916992188
G3600630,237.45388793945312
G3600070,400.7778015136719
G3600910,221.32366943359375
G3601070,393.39373779296875
G3600410,607.99310302734375
G3600990,162.04071044921875
G3600170,442.5218811035156
G3600030,549.43707275390625
G3600650,275.6886291503906
G3600370,265.3450927734375
G3600310,474.98345947265625
G3601090,346.1876220703125
G3600530,378.02947998046875
G3601030,21.619522094726562
G3601010,480.11688232421875
G3600790,196.96743774414062
G3600090,522.03070068359375
G3600330,425.7781982421875
G3600390,435.49969482421875
G3601130,384.1713562011719
G3600470,10.835488319396973
G3600490,395.8263244628906
G3600570,307.4126281738281
G3600130,425.8187561035156
G3600010,238.31454467773438
G3600190,282.0487060546875
G3601150,181.36770629882812
G3600770,476.1500244140625
G3600950,458.035888671875
G3600830,250.40234375
G3601110,339.8401184082031
G3600210,188.17164611816406
G3600810,23.328039169311523
G3600930,215.96475219726562
G3600450,165.37185668945312
G3600690,253.2952423095703
G3600710,190.66078186035156
G3601190,100.5844497680664
G3601050,432.02978515625
G3600230,451.16754150390625
G3600890,246.8819580078125
G3600270,163.68283081054688
G3600670,243.74935913085938
G3600110,238.8173828125
G3600610,14.6387300491333
G3600430,467.59503173828125
G3600250,556.03173828125
G3701390,2.7280972003936768
G3701250,126.45494079589844
G3700310,3.7828545570373535
G3700510,66.767120361328125
G3701350,168.3767547607422
G3700530,1.6352972984313965
G3701090,265.540771484375
G3700410,5.6077680587768555
G3700230,632.41668701171875
G3701530,93.27702331542969
G3700650,26.61874771118164
G3701450,170.26039123535156
G3700610,28.492605209350586
G3701610,348.7286071777344
G3700690,93.148040771484375
G3700810,237.9716796875
G3701430,3.527102470397949
G3700370,130.75440979003906
G3701690,279.83306884765625
G3701170,14.48742389678955
G3701570,217.91131591796875
G3700790,24.491960525512695
G3700950,0.8997995257377625
G3700830,43.588035583496094
G3700490,6.540581226348877
G3701230,158.0821075439453
G3700955,792.958984375
G3700470,21.404136657714844
G3701470,14.440698623657227
G3701010,58.782779693603516
G3700210,833.61474609375
G3701510,194.88720703125
G3701850,97.56697845458984
G3701030,13.687335968017578
G3701910,36.989322662353516
G3700070,121.83271789550781
G3701550,47.231712341308594
G3701870,3.9829208850860596
G3700970,288.2582702636719
G3701770,0.7221210598945618
G3700250,197.4974822998047
G3701710,340.8919372558594
G3701630,42.706729888916016
G3701290,10.47431755065918
G3700330,175.97412109375
G3700190,12.209725379943848
G3701330,12.788769721984863
G3700730,8.585397720336914
G3700910,12.487651824951172
G3700130,6.455775737762451
G3700770,127.15438842773438
G3700170,24.978981018066406
G3701590,228.2537384033203
G3700290,2.531087875366211
G3701070,24.540254592895508
G3701830,100.48809814453125
G3700870,1000.6260986328125
G3700150,11.848913192749023
G3701190,202.6676025390625
G3701270,57.82471466064453
G3701310,29.238012313842773
G3700090,981.0220947265625
G3701930,483.95758056640625
G3900730,275.4791259765625
G3901190,271.8405456542969
G3901550,303.75640869140625
G3901290,239.1099395751953
G3901390,362.26287841796875
G3900870,231.06483459472656
G3901670,251.98165893554688
G3901510,335.4354248046875
G3901090,289.30865478515625
G3900350,253.486328125
G3900310,301.87030029296875
G3900530,223.46949768066406
G3900550,315.3044738769531
G3900150,275.7491455078125
G3901450,240.9656219482422
G3901270,287.4869689941406
G3901570,312.1132507324219
G3900570,296.9939880371094
G3900290,348.8609619140625
G3900770,244.3206329345703
G3900970,306.5881042480469
G3901130,273.4820861816406
G3901650,257.5283203125
G3900890,314.2270202636719
G3900230,321.3914489746094
G3901310,254.86874389648438
G3900470,300.0435485839844
G3900790,240.20709228515625
G3900610,214.59629821777344
G3900490,257.94427490234375
G3900170,236.438720703125
G3901330,326.1041564941406
G3901050,226.6742706298828
G3900910,319.57244873046875
G3900210,343.3343811035156
G3901110,316.2908020019531
G3900410,293.4031677246094
G3900250,250.44483947753906
G3900710,304.1337890625
G3900450,285.1164245605469
G3900270,312.98052978515625
G3900070,275.73486328125
G3901350,316.0981750488281
G3901030,306.8786926269531
G3901590,304.2703552246094
G3901730,224.97836303710938
G3900830,345.8494567871094
G3900090,250.04220581054688
G3900810,329.5065612792969
G3901410,254.74331665039062
G3901490,290.9950866699219
G3900370,278.8766784667969
G3900010,261.7216491699219
G3900130,338.8865966796875
G3901690,330.2009582519531
G3900590,292.21466064453125
G3901430,217.4044189453125
G3900670,340.4422912597656
G3901150,275.5044250488281
G4200950,299.7060852050781
G4200190,381.2156677246094
G4201010,34.70254135131836
G4200450,72.36579895019531
G4201070,323.04132080078125
G4200790,402.31512451171875
G4201270,448.26995849609375
G4200390,396.93609619140625
G4200430,210.45680236816406
G4200970,234.97715759277344
G4201210,436.7525634765625
G4200410,212.99285888671875
G4200650,499.74005126953125
G4200630,436.1724548339844
G4201190,273.4503479003906
G4201110,669.261962890625
G4200270,445.8639221191406
G4200210,590.6588134765625
G4200050,386.7325134277344
G4200850,362.5600891113281
G4200910,88.050933837890625
G4200150,419.395751953125
G4200710,140.3001251220703
G4201230,497.88873291015625
G4200330,509.23675537109375
G4200550,271.7755432128906
G4200370,280.5168762207031
G4201050,607.81793212890625
G4200610,378.33819580078125
G4201330,186.16355895996094
G4201250,349.2891540527344
G4200770,174.4238739013672
G4200290,134.8446807861328
G4200010,225.5260467529297
G4200170,101.88401794433594
G4200090,419.62713623046875
G4200750,167.5828399658203
G4200110,168.3474884033203
G4200870,291.6220703125
G4201030,396.37103271484375
G4200590,364.1003112792969
G4200810,441.73101806640625
G4200490,361.9842224121094
G4201290,402.95703125
G4200070,327.3106994628906
G4200990,259.6607666015625
G4200510,462.5521545410156
G4201150,437.0537414550781
G4200830,574.37493896484375
G4201170,525.61627197265625
G4200030,320.61773681640625
G4400050,28.897014617919922
G4400010,10.913178443908691
G4400070,115.17153930664062
G4400030,87.59112548828125
G4400090,42.80669021606445
G4500450,328.8512268066406
G4500390,124.48795318603516
G4500910,191.44894409179688
G4500010,163.34371948242188
G4500510,14.192461967468262
G4500710,135.8662872314453
G4500250,98.11412811279297
G4500230,152.76048278808594
G4500430,5.378241062164307
G4500670,23.371429443359375
G4500590,182.40318298339844
G4500890,16.616830825805664
G4500755,294.9039306640625
G4500110,69.90991973876953
G4500790,73.89863586425781
G4500190,10.786399841308594
G4500290,14.889214515686035
G4500570,161.20040893554688
G4500310,48.976078033447266
G4500630,114.00299835205078
G4500750,73.5777816772461
G4500850,43.63699722290039
G4500870,155.48736572265625
G4500550,93.38245391845703
G4500690,46.02527618408203
G4500370,134.91026306152344
G4500830,235.06629943847656
G4500130,13.047225952148438
G4700250,448.0283508300781
G4700710,137.98170471191406
G4700570,390.47637939453125
G4700850,159.2495574951172
G4700990,267.16473388671875
G4701230,303.79852294921875
G4700010,437.0133361816406
G4700890,358.44140625
G4701550,528.45770263671875
G4701630,515.8931884765625
G4701790,625.06988525390625
G4701030,264.7057800292969
G4700810,217.7902374267578
G4701770,383.14813232421875
G4701870,240.0927276611328
G4700870,256.9007873535156
G4701610,158.7538604736328
G4701890,205.27096557617188
G4701850,414.6335754394531
G4701590,231.0634765625
G4701330,364.04608154296875
G4701290,482.29779052734375
G4701695,116.83148956298828
G4700430,212.67684936523438
G4700855,340.0943908691406
G4701350,163.43045043945312
G4700510,359.37518310546875
G4701450,280.012451171875
G4701070,277.24725341796875
G4701570,86.64749908447266
G4700290,529.40399169921875
G4700590,455.3672790527344
G4701150,448.84893798828125
G4701430,315.3656311035156
G4700090,489.9128112792969
G4701250,163.09104919433594
G4700190,842.8392333984375
G4701650,214.15859985351562
G4700730,436.55889892578125
G4701470,202.94471740722656
G4700370,181.2569122314453
G4700930,310.3916015625
G4700650,334.2009582519531
G4700550,252.949462890625
G4700030,258.15594482421875
G4700130,456.8802490234375
G4700070,508.9960632324219
G4701190,230.09544372558594
G4701810,241.05320739746094
G4701490,205.9844512939453
G5000070,222.7238311767578
G5000210,369.3905944824219
G5000250,416.7801818847656
G5000130,34.703575134277344
G5000050,415.9281005859375
G5000270,385.8157043457031
G5000010,284.9715576171875
G5000030,523.694580078125
G5000190,389.9003601074219
G5000230,384.7431335449219
G5000110,241.85487365722656
G5000170,397.32196044921875
G5000090,488.8804931640625
G5101190,16.976884841918945
G5101290,3.9065842628479004
G5100970,29.321199417114258
G5101650,514.72235107421875
G5100310,214.24644470214844
G5101010,27.102937698364258
G5100290,159.9656524658203
G5101790,64.310943603515625
G5101050,562.8424072265625
G5101197,685.28521728515625
G5107600,41.02631378173828
G5100730,13.94479751586914
G5101850,684.01495361328125
G5100293,320.3628234863281
G5101090,111.4789810180664
G5101030,15.281795501708984
G5101355,339.26995849609375
G5101557,863.79058837890625
G5101830,29.804903030395508
G5101070,140.5782012939453
G5101150,3.0056488513946533
G5101137,232.4000701904297
G5100195,197.5215606689453
G5100010,4.53004264831543
G5100090,340.40777587890625
G5101330,15.883201599121094
G5100490,103.82079315185547
G5101990,11.349164962768555
G5100570,27.876699447631836
G5100150,568.48992919921875
G5101930,22.519123077392578
G5100810,45.58864974975586
G5100950,16.607620239257812
G5101510,2.7394039630889893
G5100957,328.7879638671875
G5100470,193.03343200683594
G5100850,58.93532943725586
G5101670,639.8885498046875
G5101275,572.03143310546875
G5100853,579.67987060546875
G5107300,23.68284034729004
G5101690,600.01287841796875
G5101130,302.91571044921875
G5101370,199.79852294921875
G5101750,19.7853946685791
G5101215,271.77825927734375
G5101490,28.921533584594727
G5100610,161.89060974121094
G5100870,46.48825454711914
G5101630,489.6763610839844
G5101953,260.3479919433594
G5101470,150.35247802734375
G5101170,108.94020080566406
G5100857,362.4477844238281
G5100670,366.1216125488281
G5101415,850.55377197265625
G5100550,3.232487440109253
G5101110,131.9999237060547
G5100410,61.256446838378906
G5101250,336.86834716796875
G5101193,401.8837585449219
G5100070,91.5377197265625
G5100890,275.2750549316406
G5100250,85.96385955810547
G5108300,24.192813873291016
G5101855,318.6957092285156
G5101455,613.90203857421875
G5100190,317.8901062011719
G5101590,23.14455223083496
G5100237,312.5273132324219
G5101890,7.573825359344482
G5101530,81.96256256103516
G5100750,84.546417236328125
G5100170,759.2357177734375
G5101810,24.481788635253906
G5101210,688.271484375
G5100990,26.091646194458008
G5100370,150.3312225341797
G5100930,17.011037826538086
G5100530,69.32848358154297
G5107100,2.710203170776367
G5101910,694.0985107421875
G5100360,16.6512508392334
G5101410,476.0855712890625
G5100775,811.86114501953125
G5101310,4.488758563995361
G5101430,212.05496215820312
G5100030,224.54803466796875
G5101970,778.26544189453125
G5101053,367.591064453125
