GISJOIN,elevation_mean
G0101090,126.52493286132812
G0100910,51.835445404052734
G0101130,126.51438903808594
G0100590,207.88682556152344
G0101010,84.4494400024414
G0100050,114.55545806884766
G0101030,221.28518676757812
G0100570,129.8743133544922
G0100990,74.5510482788086
G0100250,59.88895797729492
G0100730,175.9324951171875
G0101210,235.57720947265625
G0100890,238.6729278564453
G0100950,272.8765869140625
G0100310,80.6394271850586
G0100630,52.93203353881836
G0100490,362.32061767578125
G0100170,217.80599975585938
G0100055,259.0907897949219
G0100870,118.77719116210938
G0101110,294.15924072265625
G0101150,205.89089965820312
G0101190,53.87699890136719
G0100970,34.5518913269043
G0100670,82.92365264892578
G0100350,74.6123275756836
G0100030,37.700496673583984
G0101310,54.66164779663086
G0100370,178.1942901611328
G0100230,60.14690399169922
G0101270,146.76852416992188
G0100070,129.43157958984375
G0100655,224.87191772460938
G0100830,209.61117553710938
G0101250,107.01295471191406
G0101290,44.596771240234375
G0100770,192.83628845214844
G0100930,177.95619201660156
G0100010,116.878173828125
G0101070,81.9129638671875
G0100190,215.9991912841797
G0100450,85.9951400756836
G0100130,106.2275161743164
G0101230,184.7281951904297
G0100850,87.1617431640625
G0101050,90.42122650146484
G0100470,55.06650161743164
G0100790,205.1856689453125
G0101170,172.38099670410156
G0100390,82.0094223022461
G0100090,241.45082092285156
G0100710,312.0119934082031
G0500390,75.50223541259766
G0500690,70.64344024658203
G0500970,288.5920104980469
G0500030,41.2912712097168
G0500290,143.49606323242188
G0500890,262.35394287109375
G0501390,56.1710090637207
G0500490,229.98834228515625
G0501170,70.00322723388672
G0500550,94.4698715209961
G0500570,99.37354278564453
G0500650,224.0215301513672
G0501010,481.62451171875
G0501050,163.87225341796875
G0500930,70.69364166259766
G0501410,292.69000244140625
G0500430,59.371158599853516
G0501150,248.8143768310547
G0500750,138.3972625732422
G0500170,36.42251205444336
G0500730,80.68772888183594
G0500350,62.79857635498047
G0500410,46.436424255371094
G0501430,427.5063171386719
G0501450,96.86122131347656
G0501110,74.096893310546875
G0500010,55.210960388183594
G0500590,134.76638793945312
G0500190,100.40166473388672
G0500470,253.35678100585938
G0501130,306.6595458984375
G0501250,145.39662170410156
G0501090,194.1137237548828
G0500670,72.8304443359375
G0500070,376.07342529296875
G0501190,100.42344665527344
G0500330,230.01730346679688
G0500110,51.84065628051758
G0501270,268.7056884765625
G0500150,394.8292236328125
G0500950,55.30458450317383
G0501290,341.50274658203125
G0501490,204.13894653320312
G0501230,65.38256072998047
G0500870,488.2640380859375
G0501330,117.96736907958984
G0500710,274.4419250488281
G0501030,58.549041748046875
G0501070,57.53496170043945
G0500630,163.46841430664062
G0501210,103.38013458251953
G0601150,1302.4295654296875
G0600830,619.505859375
G0600850,371.7249450683594
G0600370,432.6411437988281
G0600090,1622.44091796875
G0600170,1306.44580078125
G0601010,48.2591667175293
G0601050,919.2794189453125
G0600770,46.598575592041016
G0600970,254.82260131835938
G0600430,1065.2333984375
G0600410,129.58587646484375
G0600950,62.652957916259766
G0600890,1339.64111328125
G0600750,147.82635498046875
G0601090,1171.9532470703125
G0601130,232.0290069580078
G0600670,29.8707218170166
G0600450,567.87750244140625
G0600110,463.2642822265625
G0600870,258.31219482421875
G0600790,538.0489501953125
G0600070,1177.6058349609375
G0600550,346.5620422363281
G0600530,453.7576599121094
G0600730,658.72259521484375
G0600130,177.6758270263672
G0900110,71.99510955810547
G0900150,141.09017944335938
G0900070,84.17448425292969
G0900010,114.47108459472656
G0900050,278.2380676269531
G0900130,175.7756805419922
G0900030,95.965057373046875
G0900090,92.59717559814453
G1000010,11.69968032836914
G1000050,9.638712882995605
G1000030,28.220884323120117
G1100017,31.16094970703125
G1100075,73.77129364013672
G1100115,30.445096969604492
G1201090,6.096533298492432
G1200750,9.263802528381348
G1200650,27.955223083496094
G1200230,34.65153121948242
G1200830,23.960100173950195
G1200950,11.805819511413574
G1201290,9.032353401184082
G1200065,19.490169525146484
G1201070,16.855932235717773
G1201115,13.125389099121094
G1200250,1.8895705938339233
G1200870,5.103109359741211
G1201130,36.89488220214844
G1200890,11.688936233520508
G1201310,46.635337829589844
G1200130,18.6607666015625
G1200010,31.206356048583984
G1200310,15.408770561218262
G1200390,33.22673416137695
G1200570,22.79427146911621
G1200590,38.09032440185547
G1200730,30.91965103149414
G1201330,20.617671966552734
G1200330,37.10096740722656
G1200790,16.86945343017578
G1200630,39.208717346191406
G1200370,3.6330528259277344
G1200470,36.04096603393555
G1303050,16.704843521118164
G1302510,46.75702667236328
G1301510,242.82968139648438
G1303170,152.9051971435547
G1300455,259.041015625
G1301590,175.53932189941406
G1300550,268.06854248046875
G1302150,119.66667175292969
G1302410,702.7034912109375
G1301490,255.93995666503906
G1300310,50.6439323425293
G1301930,121.7073745727539
G1301410,145.61553955078125
G1301070,76.95008850097656
G1301970,166.1131134033203
G1300930,102.63129425048828
G1301690,149.68560791015625
G1301790,14.485538482666016
G1301150,228.3079833984375
G1301050,181.52320861816406
G1300890,281.0164794921875
G1300450,332.84527587890625
G1302170,222.2606201171875
G1301630,100.75609588623047
G1301530,117.592529296875
G1302450,89.43450164794922
G1300990,67.92090606689453
G1301450,211.10379028320312
G1301130,265.3627624511719
G1302350,91.9432373046875
G1302070,175.297119140625
G1302230,304.36273193359375
G1302090,65.23371887207031
G1302750,72.01129150390625
G1303010,143.74365234375
G1302910,721.09503173828125
G1300010,50.58161926269531
G1302590,129.82586669921875
G1302990,42.70429229736328
G1303030,109.82435607910156
G1301750,82.10758209228516
G1300570,343.835205078125
G1302130,289.2371826171875
G1302670,47.54365921020508
G1302930,202.16075134277344
G1301230,560.904296875
G1301850,59.70314407348633
G1300070,60.65701675415039
G1300290,12.819561004638672
G1300395,279.72418212890625
G1300870,52.303165435791016
G1301190,239.42881774902344
G1302850,220.54173278808594
G1300330,76.97872161865234
G1302970,248.55613708496094
G1301290,230.47300720214844
G1300730,119.53996276855469
G1302890,119.26496887207031
G1302630,182.6253204345703
G1300090,119.30903625488281
G1300510,2.9070496559143066
G1302610,119.19584655761719
G1300350,190.10653686523438
G1301770,84.33768463134766
G1300830,393.4564208984375
G1301950,216.97251892089844
G1302710,68.63533020019531
G1301810,121.85940551757812
G1302210,184.35194396972656
G1301550,94.9361572265625
G1300770,256.4386901855469
G1301350,301.5830383300781
G1301170,343.8382568359375
G1300670,303.2160339355469
G1301910,6.8305888175964355
G1302430,109.43729400634766
G1302370,148.24456787109375
G1302310,244.50595092773438
G1301990,250.7822265625
G1300790,144.3084259033203
G1300590,211.49078369140625
G1302650,163.31236267089844
G1301370,475.9297790527344
G1301870,474.83013916015625
G1300650,54.05314636230469
G1301030,22.069368362426758
G1303190,100.04691314697266
G1302110,184.55601501464844
G1301330,171.68405151367188
G1301570,249.08694458007812
G1300210,117.0134048461914
G1301270,2.9687259197235107
G1302950,312.24322509765625
G1301390,342.88922119140625
G1300390,13.91783618927002
G1701590,145.24794006347656
G1700330,152.78549194335938
G1700030,117.88922119140625
G1701490,183.13052368164062
G1701850,130.5325469970703
G1700930,199.1571807861328
G1701730,194.68763732910156
G1701930,122.00946044921875
G1701630,143.53826904296875
G1701530,110.14144134521484
G1701330,157.12840270996094
G1701150,203.4357147216797
G1700430,221.9806365966797
G1701430,198.3538360595703
G1701690,177.82998657226562
G1700170,163.92970275878906
G1700390,220.08218383789062
G1700290,204.38235473632812
G1701790,187.93824768066406
G1701450,141.06642150878906
G1702010,244.13406372070312
G1700790,161.19049072265625
G1700210,188.63917541503906
G1700990,199.50827026367188
G1700810,149.34910583496094
G1701350,194.42263793945312
G1700510,168.73365783691406
G1700250,148.43211364746094
G1700190,216.34974670410156
G1700130,168.71652221679688
G1701170,190.9980926513672
G1700670,194.85374450683594
G1700590,117.76436614990234
G1701890,147.7353515625
G1700710,195.37539672851562
G1700730,216.32762145996094
G1700150,233.8559112548828
G1700010,199.2444610595703
G1701990,141.6098175048828
G1700650,133.25833129882812
G1701410,247.63763427734375
G1702030,216.3837890625
G1701290,175.31251525878906
G1700230,178.30921936035156
G1701470,211.86338806152344
G1700370,252.8080596923828
G1701310,207.46893310546875
