GISJOIN,silt_mean
G4201210,50.33867645263672
G1901970,45.14045715332031
G1302910,33.782962799072266
G4801810,32.940067291259766
G2200710,40.81733703613281
G4802450,35.88261032104492
G2201130,41.18798065185547
G3900110,58.41623306274414
G2900050,58.55504608154297
G5101450,30.4514217376709
G2101070,64.458251953125
G1901730,50.86544418334961
G5350055,47.68416213989258
G4701510,47.93106460571289
G3700610,19.479225158691406
G4802170,28.243412017822266
G5101050,49.3271369934082
G4700590,55.1450080871582
G1800430,66.64300537109375
G3600750,38.51841735839844
G3400310,40.10272216796875
G2400190,47.99542236328125
G2400390,44.36534881591797
G5100350,41.59877014160156
G3701510,49.50951385498047
G3701570,29.06650733947754
G1800590,61.086605072021484
G3900330,62.90180969238281
G2902070,50.284950256347656
G2701535,40.06435775756836
G1000010,32.561729431152344
G2600990,35.23485565185547
G1300390,29.322906494140625
G4700150,63.3517951965332
G5500390,61.15913772583008
G3701230,50.15925598144531
G5100370,33.528892517089844
G5350215,47.788204193115234
G3900030,56.5104866027832
G5101010,29.007822036743164
G1900930,60.58884048461914
G2901010,60.06210708618164
G1700670,63.496273040771484
G2200510,41.076168060302734
G2200090,40.008487701416016
G5501050,62.229129791259766
G2701450,30.845378875732422
G2901190,68.13623809814453
G5500150,52.77788162231445
G2901610,60.1263542175293
G2601290,19.022132873535156
G1301690,22.34084129333496
G5501310,57.33806228637695
G4800890,22.76333999633789
G0501150,39.82819366455078
G4802670,24.82356071472168
G5000210,46.017024993896484
G3150575,54.566078186035156
G5100630,42.66624450683594
G4701450,59.052101135253906
G2200130,30.463132858276367
G4800230,28.739408493041992
G5101310,34.31525802612305
G3600430,45.53983688354492
G5101835,64.05348205566406
G4804850,39.19232940673828
G2100050,55.9952392578125
G0101230,30.409835815429688
G2050455,49.12953567504883
G0600950,36.30870056152344
G4802910,37.080360412597656
G1900490,46.284847259521484
G3400230,33.38864517211914
G3701970,30.187517166137695
G4200270,45.01662063598633
G1800750,59.916587829589844
G5101390,50.72318649291992
G5500490,59.60018539428711
G4804170,32.347251892089844
G3550555,30.267253875732422
G2400410,51.43848419189453
G2901870,64.36495208740234
G3700890,37.75275421142578
G5000050,45.22861862182617
G3600210,54.165245056152344
G0500490,61.71242904663086
G4200330,51.42597198486328
G2800490,68.29270935058594
G3150135,48.25474548339844
G0101010,32.486793518066406
G4803510,30.718517303466797
G2200570,31.674287796020508
G1301250,20.3015079498291
G2102390,62.74103546142578
G4804573,28.63911247253418
G2900490,51.60163116455078
G1301350,23.350543975830078
G2900290,65.109130859375
G4700890,58.68136215209961
G1701770,66.29051971435547
G0500010,56.62168502807617
G3701590,32.14840316772461
G2900730,61.82183837890625
G2901570,64.72850799560547
G1901770,53.01873779296875
G1302050,15.723278045654297
G1801350,62.44336700439453
G1901830,56.98741149902344
G2700250,32.837501525878906
G0501270,45.25089645385742
G3701390,34.97567367553711
G1801290,63.20329666137695
G1300010,13.312803268432617
G1300650,9.396239280700684
G2701545,40.15409469604492
G5101437,57.04047393798828
G1901750,51.39898681640625
G2900530,66.6744613647461
G4700610,46.36334991455078
G2901690,67.26085662841797
G1700010,62.93033218383789
G1300710,15.658246040344238
G5500770,22.793869018554688
G4800655,20.13123321533203
G2801130,43.2242317199707
G1301410,23.808748245239258
G4950375,37.741966247558594
G1800250,67.41410064697266
G5100775,55.49260330200195
G3150535,42.82685852050781
G2902190,52.92015838623047
G5500235,49.17980194091797
G5101290,34.839874267578125
G5101557,55.287025451660156
G0600790,35.1899299621582
G1900790,45.00712585449219
G2300010,35.120201110839844
G0500430,53.603858947753906
G4801310,28.416086196899414
G2400470,31.598831176757812
G1201090,5.545072078704834
G4201150,60.71167755126953
G3701890,36.941741943359375
G2701370,31.428565979003906
G2101330,54.09428405761719
G1701190,64.12879180908203
G1800870,31.9945068359375
G5101130,50.244319915771484
G4500510,19.10605812072754
G5500030,39.590492248535156
G0100890,58.733863830566406
G1302230,23.838130950927734
G3901170,60.35129928588867
G3600470,NA
G3601170,52.373069763183594
G3700190,20.402013778686523
G3900750,63.206809997558594
G2500150,35.392173767089844
G5100870,29.54834747314453
G4804030,28.574785232543945
G4500450,28.009078979492188
G3701290,20.513574600219727
G3150215,59.99457931518555
G5100750,33.94221496582031
G3701950,17.973154067993164
G4800550,25.48540496826172
G3600970,64.77811431884766
G4500570,37.14130401611328
G2701410,15.03237533569336
G3300190,39.13007354736328
G5500450,59.08494567871094
G2050415,55.464813232421875
G5500110,48.847694396972656
G3600330,35.65754318237305
G3150255,55.30727005004883
G2100790,60.73986053466797
G2101490,65.72027587890625
G3600170,64.02803039550781
G1301590,24.21839141845703
G4701070,60.08113479614258
G4200450,65.1547622680664
G2050355,56.703941345214844
G2050735,52.964454650878906
G2200490,33.85996627807617
G3600410,42.202056884765625
G1801790,61.11249923706055
G1800070,61.496429443359375
G2600250,30.55594825744629
G2101030,59.020103454589844
G3701630,20.541797637939453
G1901490,61.061500549316406
G4700730,55.19510269165039
G1303210,16.29081153869629
G5500230,56.53882598876953
G2050797,53.70002746582031
G4700210,67.86632537841797
G1900770,49.38909912109375
G3150695,30.665504455566406
G4804790,25.289064407348633
G1800150,61.70304870605469
G2601570,26.41968536376953
G1300830,45.202720642089844
G4100570,54.71107482910156
G1801710,62.296287536621094
G2801290,33.919715881347656
G3900790,59.014095306396484
G5100530,31.863815307617188
G2700050,24.766279220581055
G1701170,63.10548400878906
G3150595,57.352909088134766
G1901070,58.03076171875
G4800490,31.019153594970703
G3701190,28.854402542114258
G5100010,35.44300842285156
G5101370,56.35932159423828
G3150635,59.421165466308594
G3700310,20.727882385253906
G1801090,59.96643829345703
G4500850,18.284870147705078
G4802410,33.419525146484375
G2400110,31.738544464111328
G1701010,60.67591094970703
G2800510,56.8765869140625
G0501290,52.94587326049805
G2901050,66.827789306640625
G4500390,30.672931671142578
G0501170,60.77402114868164
G5101330,27.945838928222656
G0501430,47.825931549072266
G3701990,37.60703659057617
G2300210,57.136375427246094
G0100130,31.402645111083984
G1700290,63.592079162597656
G0100910,32.285011291503906
G2600070,24.96042251586914
G4100390,45.92030715942383
G5500250,60.43331527709961
G0500470,43.610565185546875
G2050755,54.89886474609375
G5101730,52.647315979003906
G2901770,57.13557815551758
G2100150,58.68179702758789
G2900190,54.825286865234375
G0500190,47.7578010559082
G2701335,57.17753219604492
G0500130,59.84476089477539
G5101530,51.67694091796875
G1900310,57.93132781982422
G1801750,66.8640365600586
G4803250,26.652807235717773
G4700710,54.63488006591797
G1302490,15.763886451721191
G1901690,43.895450592041016
G4800370,41.39848327636719
G1300270,15.872185707092285
G4804670,28.927867889404297
G2900630,45.6534538269043
G4800950,36.02288818359375
G4701790,48.62184143066406
G5500350,31.23879051208496
G2701530,23.096851348876953
G2800230,33.07062530517578
G5100850,28.41924476623535
G1800890,40.34027099609375
G5500590,57.4217414855957
G4801410,31.478689193725586
G3700030,28.10266876220703
G5350175,33.04450988769531
G3901590,60.53336715698242
G1701730,65.9644546508789
G4801770,24.602869033813477
G1901470,44.32304763793945
G2801270,37.65177917480469
G4200930,55.290340423583984
G5000030,48.844207763671875
G1301910,26.632715225219727
G3700950,33.47920608520508
G1901290,61.25661849975586
G4950535,35.191246032714844
G2600770,31.600982666015625
G1200230,6.148378372192383
G1900690,46.48672103881836
G5100297,58.952613830566406
G1200830,5.346218585968018
G1201070,5.53791618347168
G3900430,47.93125915527344
G3900410,62.1208610534668
G1800190,65.91131591796875
G2900670,61.80967330932617
G3600490,38.141876220703125
G0500270,44.82890701293945
G4804190,28.00347328186035
G5101210,54.437557220458984
G5101550,51.84375
G1701590,65.7000503540039
G5101593,58.7982292175293
G5500270,64.26573944091797
G1900090,54.30812454223633
G3900050,64.11006164550781
G3601110,59.40165328979492
G3400070,20.75133514404297
G3400170,43.80770492553711
G4701130,62.30162811279297
G1100010,45.854068756103516
G5101175,59.009666442871094
G1701330,61.55678939819336
G1800570,60.66714096069336
G4800050,32.83646774291992
G5100857,62.4057502746582
G3600070,65.0179443359375
G2601250,26.780006408691406
G3700670,27.798160552978516
G3600930,61.38302993774414
G5501210,47.178226470947266
G2601070,17.8467960357666
G2100470,66.466796875
G4803210,26.925800323486328
G1900850,65.13934326171875
G2600210,35.360843658447266
G1800330,55.80180740356445
G2902110,46.392276763916016
G4200970,53.40822982788086
G4700010,56.234962463378906
G2601190,13.267916679382324
G4201330,61.095726013183594
G1200895,6.132227897644043
G3600550,54.797420501708984
G1701210,66.57334899902344
G2600670,31.786527633666992
G4800150,24.32796287536621
G3901250,31.492496490478516
G2600630,36.08723449707031
G5101555,49.4046516418457
G4700910,45.888675689697266
G0101170,50.17008590698242
G4200210,49.818363189697266
G1800650,60.75131607055664
G3400030,42.82493209838867
G2800330,65.12247467041016
G2901450,68.07615661621094
G1900990,56.72731399536133
G0600710,22.276660919189453
G2101350,59.57132339477539
G3900570,61.02434539794922
G2700530,36.58115005493164
G2700930,37.21629333496094
G1700690,63.22640609741211
G3150055,59.326316833496094
G2901730,61.43158721923828
G5101810,30.260610580444336
G5100890,28.30058479309082
G5101433,59.448612213134766
G2300250,55.22978210449219
G3600990,60.96348190307617
G4500270,17.4064884185791
G3550435,32.16615295410156
G3600510,62.131385803222656
G3600290,63.452964782714844
G2050075,48.31589889526367
G2700955,35.169898986816406
G5350015,59.85148620605469
G4500830,26.972454071044922
G5101690,57.236690521240234
G5101455,57.1132926940918
G3901510,59.35258102416992
G2800410,35.777061462402344
G1701490,62.694087982177734
G3700370,43.64289855957031
G5100990,28.076377868652344
G4804470,32.14262390136719
G5101190,28.91897964477539
G2500010,12.980875968933105
G2800110,37.76450729370117
G2900170,66.1751937866211
G3600370,60.721031188964844
G5100250,29.695842742919922
G3900690,29.87946128845215
G1200470,6.156885147094727
G3150315,46.90406036376953
