GISJOIN,clay_mean
G2100790,24.6551513671875
G0100030,12.143239974975586
G1302690,9.190740585327148
G2001410,16.860605239868164
G2101050,15.217700004577637
G5400390,17.70185089111328
G5000090,12.652016639709473
G0450177,15.789045333862305
G4803090,44.56987762451172
G3100670,31.333158493041992
G4803910,34.63575744628906
G3101670,17.987199783325195
G4200190,16.62697410583496
G3100210,28.304555892944336
G2600490,17.729379653930664
G1302090,8.666329383850098
G3550255,22.28331756591797
G2100050,33.06783676147461
G3600270,12.765973091125488
G3701110,19.210840225219727
G2700030,6.342336654663086
G4802130,18.412874221801758
G0600790,24.592016220092773
G1900370,21.53302574157715
G4804690,28.664737701416016
G5500030,13.64856243133545
G3101095,17.908018112182617
G1300395,26.627185821533203
G3600110,14.620767593383789
G3701790,22.57525062561035
G1801790,23.01964569091797
G2102330,16.617460250854492
G4800970,32.39714431762695
G1701430,17.380168914794922
G2601570,12.44887924194336
G2001950,16.173097610473633
G2101070,17.700542449951172
G5501370,9.99306583404541
G3701970,26.871599197387695
G4701610,15.36404037475586
G5500710,20.226266860961914
G5500790,21.57940101623535
G1701590,15.648300170898438
G2700670,29.00448989868164
G3701330,7.917340278625488
G2800570,15.916709899902344
G2600230,13.306037902832031
G0450155,19.80356216430664
G0600750,14.352700233459473
G1200190,3.7017784118652344
G4500110,8.083048820495605
G2900090,15.171855926513672
G2200235,33.091697692871094
G5500390,17.142406463623047
G4701650,22.676328659057617
G4804930,17.471923828125
G5501270,14.916818618774414
G4800930,22.846561431884766
G1801450,21.016794204711914
G2901070,21.87177848815918
G4950435,18.642457962036133
G1302330,16.875146865844727
G3701390,17.42304229736328
G5100470,15.288236618041992
G2000570,16.747041702270508
G2600170,10.497714042663574
G3900990,16.536312103271484
G2200050,33.42454147338867
G5400970,17.213315963745117
G1303110,25.872865676879883
G2900170,15.38870620727539
G0600050,15.866111755371094
G3600750,12.233872413635254
G3900710,17.153108596801758
G2200090,38.60757827758789
G1801370,16.89219856262207
G2101490,19.400957107543945
G5500310,19.186290740966797
G1701350,18.55245018005371
G5100750,19.393165588378906
G3050035,27.02240753173828
G1900590,24.379135131835938
G4201330,15.929390907287598
G2102350,17.102996826171875
G0601050,16.099136352539062
G4100110,17.6561222076416
G1700190,20.827377319335938
G2101910,35.900657653808594
G3109015,17.898107528686523
G3900370,20.553054809570312
G4803310,30.74808692932129
G1701050,27.399930953979492
G4803950,15.221783638000488
G0100930,12.928555488586426
G4802810,34.31562805175781
G0600270,11.821138381958008
G4200370,15.107747077941895
G5101350,21.1853084564209
G0950975,30.231800079345703
G2100490,27.61028289794922
G5400830,16.127649307250977
G4801970,36.47102737426758
G5100010,13.295572280883789
G2901730,20.783405303955078
G5101750,12.947981834411621
G2900670,16.168291091918945
G1901710,25.05575180053711
G2800330,15.703897476196289
G2001610,31.829330444335938
G3700730,13.584571838378906
G2200470,42.9637336730957
G0450195,22.361482620239258
G5500650,17.01629638671875
G2600770,13.666484832763672
G4500750,8.369349479675293
G2901570,16.416229248046875
G0100670,9.949995994567871
G4500070,23.815399169921875
G1900390,25.304931640625
G2700510,25.936813354492188
G3550035,16.825719833374023
G4700910,17.544715881347656
G1302370,28.832406997680664
G1200770,6.79905366897583
G5100230,19.289823532104492
G3300070,11.188776016235352
G2601270,5.096227645874023
G1300630,24.871463775634766
G3700850,11.105158805847168
G1701250,12.109258651733398
G2902230,15.846124649047852
G0500330,18.829626083374023
G4800295,24.7341365814209
G2000430,18.909318923950195
G2901890,16.745296478271484
G5100830,25.00916290283203
G5000070,16.517385482788086
G4801750,21.750816345214844
G4803370,20.46811294555664
G0600090,16.472684860229492
G1801310,10.936137199401855
G2100570,21.836517333984375
G0101330,13.524548530578613
G4200270,16.30147933959961
G2800670,14.005796432495117
G0601070,18.009502410888672
G3100010,18.03942108154297
G5501090,11.899062156677246
