GISJOIN,clay_mean
G0950815,20.84691619873047
G5400730,21.83756446838379
G2000990,22.594192504882812
G4800050,20.967805862426758
G2701490,27.13733673095703
G2200130,13.763773918151855
G5101330,11.33657169342041
G3900990,16.536312103271484
G3700230,26.781686782836914
G0500650,14.053874969482422
G2400450,10.293295860290527
G1300930,9.024089813232422
G3700290,13.83468246459961
G0500510,17.541847229003906
G3900110,23.55415153503418
G3900270,18.09212303161621
G4500190,10.285771369934082
G2901650,25.306201934814453
G4950555,19.424150466918945
G1901190,31.023778915405273
G2000790,27.961143493652344
G0100070,15.690049171447754
G1301510,29.374643325805664
G2900010,24.275453567504883
G2100910,14.356756210327148
G3901090,20.00111961364746
G5500430,16.552940368652344
G1800450,18.926607131958008
G3550555,23.837451934814453
G0101330,12.863961219787598
G4700210,15.755967140197754
G4700650,17.52752113342285
G3600850,11.523454666137695
G2901150,23.568761825561523
G5350555,15.467540740966797
G2102150,28.6978702545166
G1300990,10.567176818847656
G5500990,10.896845817565918
G2000110,25.808568954467773
G2600750,11.009568214416504
G2000450,27.85846710205078
G2701210,17.417966842651367
G3701450,21.499080657958984
G2201050,13.14110279083252
G3900670,18.530935287475586
G4802570,37.556365966796875
G0951095,14.331438064575195
G2000390,13.084796905517578
G3101650,13.942934036254883
G0801110,16.82305908203125
G5501310,17.3339900970459
G3701870,18.014301300048828
G1800090,23.722064971923828
G2001850,10.741756439208984
G4201090,15.890626907348633
G2601510,16.929935455322266
G3901270,18.99933433532715
G3100570,8.449042320251465
G1700310,22.259300231933594
G4801810,36.683589935302734
G2001110,29.937320709228516
G5000010,25.99049949645996
G3900170,21.216976165771484
G3701630,9.892765045166016
G4805010,4.593957424163818
G4805070,31.646146774291992
G1700490,14.724126815795898
G5100270,17.76651382446289
G1901250,25.461994171142578
G5500210,12.110522270202637
G1700690,22.596302032470703
G3100010,18.45520782470703
G2701570,15.95483112335205
G4100010,26.208778381347656
G4200990,16.02423667907715
G3550495,21.549819946289062
G0101190,27.64154815673828
G2700090,11.017046928405762
G4400050,11.510025978088379
G3901570,17.215961456298828
G4803590,26.95557975769043
G3701350,20.307804107666016
G1302510,12.041471481323242
G4700490,20.50420570373535
G5101110,24.447429656982422
G1650075,11.230085372924805
G2701110,14.597199440002441
G3600610,13.571310997009277
G4801530,42.37862014770508
G3101210,13.238837242126465
G1300370,11.113773345947266
G4803570,29.041927337646484
G0600490,25.56760025024414
G0951375,20.337366104125977
G5400470,17.95494270324707
G3901370,43.46837615966797
G3700770,23.370779037475586
G1302230,27.933992385864258
G4100670,21.437559127807617
G1700470,17.776626586914062
G5650095,18.167200088500977
G4200830,15.888723373413086
G2001930,13.117003440856934
G0801230,16.71853256225586
G3600390,15.452677726745605
G2902230,15.553715705871582
G2001735,16.059856414794922
G3900630,25.88833999633789
G2801050,27.798580169677734
G2001950,16.173097610473633
G1701610,17.34807014465332
G5100210,17.244487762451172
G2000730,30.675546646118164
G1700230,16.375764846801758
G4801010,27.042028427124023
G5350235,12.928936958312988
G5100610,18.058088302612305
G4802590,44.642982482910156
G2300250,12.447413444519043
G3100590,22.221477508544922
G5500870,17.65655517578125
G2800090,17.351301193237305
G3701530,10.20531940460205
G0800350,14.764357566833496
G2600230,13.306037902832031
G1301210,22.888288497924805
G0601090,13.13027286529541
G4800490,33.03968811035156
G5500230,15.483243942260742
G3701430,17.902206420898438
G1200670,3.802635669708252
G2700970,9.077469825744629
G1700150,16.021045684814453
G5350175,11.093528747558594
G0100790,19.118995666503906
G4200630,15.811199188232422
G4100370,17.576566696166992
G0950395,24.742998123168945
G2101330,16.201051712036133
G4804390,36.23149108886719
G4801170,41.033939361572266
G1800430,16.32484245300293
G4700410,21.018985748291016
G0501330,16.69328498840332
G2901230,15.246406555175781
G1701530,19.156753540039062
G2000530,16.80150604248047
G0101310,24.97058868408203
G2901210,24.282304763793945
G5000050,12.61632251739502
G1901330,23.45315170288086
G5350495,11.934727668762207
G2900070,23.405025482177734
G4950435,18.642457962036133
G2101790,28.669254302978516
G1801690,20.522642135620117
G1302110,28.965518951416016
G4500570,18.335229873657227
G4201170,14.042107582092285
G5400490,18.95467185974121
G1800190,17.444597244262695
G0100550,16.689781188964844
G1300395,27.305025100708008
G2800590,13.38416576385498
G1700630,20.785842895507812
G5350115,10.228055953979492
G3550475,20.8780574798584
G3600670,15.208738327026367
G2601150,17.04136085510254
G2900710,19.56915283203125
G5000250,12.929471015930176
G5100810,21.472034454345703
G2700010,10.955038070678711
G5350015,14.66222858428955
G4804070,17.55998420715332
G4200590,14.850340843200684
G0501090,18.16094970703125
G4800670,10.9961576461792
G2901010,20.833322525024414
G0600010,30.32683753967285
G0950435,23.729324340820312
G4801450,40.7516975402832
G4500910,23.594362258911133
G1800250,13.693159103393555
G3550075,24.095897674560547
G0950035,18.16008949279785
G1701870,16.40676498413086
G3900650,24.543128967285156
G1801810,14.73239803314209
G3100550,26.78030776977539
G4800370,25.012863159179688
G1900150,24.937944412231445
G4700950,35.65483474731445
G1200950,3.3154919147491455
G3101110,7.448603630065918
G4701390,18.550947189331055
G4803530,26.44505500793457
G3901450,15.96567153930664
G4200690,13.875104904174805
G4700190,17.46059226989746
G3300110,9.960810661315918
G0951815,46.030128479003906
G1303190,9.40597152709961
G5100250,19.95633888244629
G3600970,14.569867134094238
G1801450,21.016794204711914
G4950055,19.09928321838379
G4802230,26.64653968811035
G4100150,16.87187957763672
G1301190,29.680707931518555
G0951615,18.11284828186035
G1800410,19.93408203125
G4700270,16.881275177001953
G5401030,17.871435165405273
G4803130,20.892601013183594
G1701510,20.865909576416016
G0950135,24.10458755493164
G4800510,22.255895614624023
G2901410,19.487579345703125
G1700030,26.395044326782227
G2100610,16.72963523864746
G0800050,20.835128784179688
G0951695,33.34536361694336
G3700990,18.174968719482422
G2200750,23.92234230041504
G4801210,39.076255798339844
G4200310,15.96860122680664
G0600070,21.46416664123535
G2100750,22.805438995361328
G1302090,8.681791305541992
G5101410,22.13215446472168
G3300170,9.70246696472168
G1701810,22.838706970214844
G5500090,19.418977737426758
G4804710,21.255088806152344
G4803930,20.046878814697266
G2100470,17.189485549926758
G4500250,9.23354721069336
G2800050,16.083349227905273
G1300070,9.668313980102539
G1700830,18.704483032226562
G4800010,18.432493209838867
G3101850,20.677963256835938
G3901750,24.72921371459961
G2800630,18.00368881225586
G3101550,28.762096405029297
G3700810,23.875507354736328
G3100830,13.17513656616211
G1700110,18.044017791748047
G2001490,30.007442474365234
G3600450,24.479042053222656
G2101830,15.926654815673828
G1900970,16.725194931030273
G2700150,24.425325393676758
G0950175,25.369468688964844
G2100790,24.6551513671875
G3901590,23.605300903320312
G2900570,19.53377342224121
G2101870,34.581966400146484
G2100150,28.396392822265625
G2400010,15.62447452545166
G2300230,12.242815017700195
G3550195,15.667044639587402
G1901710,25.05575180053711
G3601010,14.146403312683105
G4802370,28.16766929626465
G4804010,13.110222816467285
G1302950,17.4384822845459
G2701470,24.123886108398438
G2600610,10.052056312561035
G2800710,16.549083709716797
G1800290,24.822973251342773
G2101910,35.900657653808594
G0500090,14.762155532836914
G0600450,19.100614547729492
G2001650,14.649945259094238
G0600770,25.21921157836914
G3101670,17.987199783325195
G2902190,26.818933486938477
G5500450,15.93215274810791
G2100030,16.962589263916016
G4804770,34.746273040771484
G4200210,15.572236061096191
G4701310,14.260550498962402
G4201030,13.806713104248047
G1701690,19.138158798217773
G0950555,19.44700050354004
G4701630,22.408790588378906
G4500230,27.7412109375
G2801370,14.942997932434082
G1901650,24.575851440429688
G3701210,17.405513763427734
G4800730,19.821218490600586
G1900430,17.228702545166016
G2101850,23.707460403442383
G2801350,31.671422958374023
G2600150,12.73307991027832
G3901170,21.13338279724121
G1201070,3.4970991611480713
G4800910,44.018218994140625
G5500350,9.5749664306640625
G0500470,17.634668350219727
G2600830,7.183971881866455
G1701030,18.013376235961914
G3700090,19.540973663330078
G2200930,37.29895782470703
G1200130,7.3308868408203125
G4200490,13.39252758026123
G2900210,28.07305335998535
G1901670,30.839506149291992
G3200275,27.43174171447754
G0100610,9.576900482177734
G4500130,14.172894477844238
G3550395,18.54195213317871
G1650255,23.60003089904785
G4700770,16.89214515686035
G2700470,23.769750595092773
G1800510,17.68058967590332
G2801030,34.63578796386719
G1302710,8.67110538482666
G2801410,15.048585891723633
G5500970,7.621640205383301
G4802210,27.87539291381836
G2200730,24.415571212768555
G5350195,15.33543586730957
G2300190,11.730335235595703
G0501170,20.10731315612793
G2100190,24.354570388793945
G1000050,8.988224029541016
G1702010,16.656612396240234
G2701010,25.32376480102539
G3901130,20.068605422973633
G1900870,24.683855056762695
G1701430,17.380168914794922
G4200090,16.45071792602539
G5101810,14.7346830368042
G5100310,22.291528701782227
G3901150,24.54558753967285
G2902050,23.447486877441406
G0950615,16.291072845458984
G3901290,20.96510887145996
G0100130,19.754283905029297
G1800850,16.27227783203125
G1650215,20.614030838012695
G3550255,21.884119033813477
G2800490,13.390423774719238
G3700490,13.559713363647461
G1701310,16.633567810058594
G0950095,24.074951171875
G1300670,25.187946319580078
G3400130,16.330368041992188
G1800550,16.110382080078125
G1801790,23.01964569091797
G1302730,9.313998222351074
G5101030,11.10193920135498
G3701010,10.794209480285645
G3901490,22.28152084350586
G1650015,15.687813758850098
G5500670,9.985971450805664
G2801250,47.58757400512695
G4802970,29.10655975341797
G4800770,21.15464210510254
G3700390,17.931102752685547
G3600690,15.561335563659668
G2000135,22.880762100219727
G5400830,16.127649307250977
G2001870,19.569379806518555
G5400090,18.623306274414062
G1901310,23.483196258544922
G1302130,18.435726165771484
G2001450,14.26871395111084
G2800690,23.4525203704834
G2001390,28.612197875976562
G4700390,16.987327575683594
G1303150,10.319061279296875
G4700690,15.696538925170898
G0100890,20.365890502929688
G4700030,28.984783172607422
G0501490,17.002986907958984
G2901310,19.42230224609375
G5101770,16.901071548461914
G4801690,32.654903411865234
G4803350,28.511735916137695
G1700610,19.11080551147461
G4500290,9.6425018310546875
G4800230,40.363590240478516
G4804150,29.743896484375
G2700070,11.445837020874023
G4802130,18.412874221801758
G5100570,11.828224182128906
G1801530,16.173208236694336
G2600450,15.923727989196777
G3900950,22.01694107055664
G3700550,12.06076431274414
G3901530,16.13201332092285
G0450135,19.467037200927734
G0950215,20.417011260986328
G4803410,29.3303279876709
G1301250,10.801304817199707
G2200090,38.60757827758789
G3100610,13.454763412475586
G4803970,53.711666107177734
G4700730,20.17551040649414
G3901330,17.759355545043945
G5100870,12.635693550109863
G2000850,34.547733306884766
G5400350,33.3919677734375
G4802070,36.44948196411133
G3600010,15.074895858764648
G3700130,18.26768684387207
G3550035,21.488004684448242
G1901930,20.003686904907227
G4500630,10.548506736755371
G2601270,5.096227645874023
G0600690,30.590251922607422
G2101450,13.418275833129883
G1302310,27.813570022583008
G4803870,30.232433319091797
G4700610,19.668149948120117
G5400330,18.828289031982422
G2601470,20.826622009277344
G1302630,24.330570220947266
G0600710,10.277881622314453
G2400050,16.04541015625
G1700430,21.957950592041016
G1300010,6.58180570602417
G2000070,20.94898223876953
G2100250,16.357389450073242
G1800210,16.447677612304688
G0600970,22.43916130065918
G5350075,17.399320602416992
G2700250,11.679099082946777
G3700450,29.263988494873047
G3300130,10.134886741638184
G4800710,38.4786376953125
G4804190,15.842318534851074
G0600430,15.173351287841797
G4200390,13.711639404296875
G2801530,16.497896194458008
G0500430,18.79266929626465
G1700790,14.713730812072754
G3701370,14.152032852172852
G2900650,16.17038345336914
G3900610,23.49822998046875
G5101610,19.891321182250977
G3900310,15.468029022216797
G2201070,47.144081115722656
G2101510,27.049646377563477
G1801570,19.57994270324707
G2001670,16.556339263916016
G1302390,16.383922576904297
G1200070,3.4791276454925537
G4500790,13.467018127441406
G1701130,20.036460876464844
G2600590,16.3475399017334
G4701350,17.1602840423584
G5400770,15.59351921081543
G4800070,19.7559814453125
G2100410,23.833629608154297
G4804930,17.446197509765625
G4802790,15.51865291595459
G2700650,13.9649076461792
G2001310,36.62228775024414
G5501390,25.791677474975586
G0500590,16.085121154785156
G0600190,19.604108810424805
G2002090,24.059099197387695
G0100670,9.949995994567871
G0951055,47.46503448486328
G2601390,9.397988319396973
G2000010,24.608444213867188
G1200470,3.7945449352264404
G1900790,26.820207595825195
G1300350,28.791259765625
G2300210,12.43130111694336
G0951415,17.96662139892578
G1200590,8.107209205627441
G2300010,9.978070259094238
G2901090,15.940117835998535
G5500810,10.061793327331543
G0501010,18.826696395874023
G5101590,12.127595901489258
G3900770,20.35687255859375
G4804250,32.53947067260742
G3901010,25.644010543823242
G0950495,24.503135681152344
G4802630,17.75392723083496
G1301030,7.321445941925049
G2901890,16.736690521240234
G0951195,27.360397338867188
G3900590,20.639568328857422
G2100950,16.103906631469727
G1901770,21.407991409301758
G1301050,28.938167572021484
G0500630,18.340906143188477
G4804870,31.986957550048828
G1200230,3.8567826747894287
G0951135,20.114791870117188
G4803710,20.082517623901367
G1901550,22.676252365112305
G0600990,18.74432945251465
G0951275,24.01557731628418
G2101950,16.66617202758789
G4500430,12.489480972290039
G4500490,11.602685928344727
G2800970,16.25396728515625
G3601070,14.154428482055664
G3600250,14.895648002624512
G3601090,14.870670318603516
G2901750,24.22522735595703
G5000190,12.360251426696777
G4801430,30.19283676147461
G1302430,10.697514533996582
G3900210,20.750694274902344
G4201010,16.66706657409668
G2700170,12.665989875793457
G4201330,15.929390907287598
G3700210,19.763254165649414
G0950455,32.11370086669922
G2201170,13.36889934539795
G3550155,27.608373641967773
G4100710,25.768386840820312
G2800070,16.78093910217285
G2902210,17.40593719482422
G1901030,23.161771774291992
G5101390,15.886123657226562
G4803310,30.74808692932129
G4700370,21.716581344604492
G2600990,23.83855628967285
G1800390,15.017545700073242
G0801010,21.36675453186035
G5400750,16.541770935058594
G4802890,13.946321487426758
G4803450,17.47540855407715
G1200250,5.105940341949463
G4802690,33.232181549072266
G5100770,22.033447265625
G5350095,16.501333236694336
G2701710,21.69841766357422
G4802270,24.42690086364746
G1301770,8.852802276611328
G0100950,15.632552146911621
G2000035,20.33144187927246
