GISJOIN,clay_mean
G4201210,15.205573081970215
G1901970,25.905614852905273
G1302910,17.467571258544922
G4801810,36.683589935302734
G2200710,39.23640823364258
G4802450,40.89791488647461
G2201130,27.260177612304688
G3900110,23.55415153503418
G2900050,27.832096099853516
G5101450,21.24774742126465
G2101070,17.700542449951172
G1901730,30.677486419677734
G5350055,16.896183013916016
G4701510,17.78573226928711
G3700610,8.97340202331543
G4802170,43.4302978515625
G5101050,23.479137420654297
G4700590,19.573484420776367
G1800430,16.32484245300293
G3600750,12.233872413635254
G3400310,13.521086692810059
G2400190,13.44435977935791
G2400390,12.890157699584961
G5100350,21.300886154174805
G3701510,21.383033752441406
G3701570,26.06360626220703
G1800590,21.19633674621582
G3900330,22.328699111938477
G2902070,20.889177322387695
G2701535,29.597633361816406
G1000010,11.149898529052734
G2600990,23.83855628967285
G1300390,18.694374084472656
G4700150,21.081886291503906
G5500390,17.142406463623047
G3701230,20.494272232055664
G5100370,24.23994255065918
G5350215,15.15581226348877
G3900030,24.51390266418457
G5101010,12.29422378540039
G1900930,26.081626892089844
G2901010,20.833322525024414
G1700670,18.9890079498291
G2200510,29.779268264770508
G2200090,38.60757827758789
G5501050,15.572284698486328
G2701450,13.05981159210205
G2901190,14.964800834655762
G5500150,21.36821937561035
G2901610,17.387588500976562
G2601290,9.225080490112305
G1301690,23.787731170654297
G5501310,17.3339900970459
G4800890,18.11435317993164
G0501150,17.876605987548828
G4802670,48.94133377075195
G5000210,15.666998863220215
G3150575,19.785675048828125
G5100630,23.138811111450195
G4701450,16.857120513916016
G2200130,13.812748908996582
G4800230,40.363590240478516
G5101310,11.781024932861328
G3600430,12.619834899902344
G5101835,16.4063777923584
G4804850,24.238576889038086
G2100050,33.06783676147461
G0101230,22.511028289794922
G2050455,31.42082977294922
G0600950,36.287776947021484
G4802910,28.94856834411621
G1900490,25.102394104003906
G3400230,11.401389122009277
G3701970,26.871599197387695
G4200270,16.30147933959961
G1800750,23.312740325927734
G5101390,15.886123657226562
G5500490,15.140278816223145
G4804170,41.98561096191406
G3550555,22.893728256225586
G2400410,13.98088264465332
G2901870,19.02740478515625
G3700890,19.306642532348633
G5000050,12.611547470092773
G3600210,13.231507301330566
G0500490,16.34434700012207
G4200330,16.09337615966797
G2800490,13.390423774719238
G3150135,35.16191864013672
G0101010,28.6478328704834
G4803510,14.876119613647461
G2200570,41.29933547973633
G1301250,10.942880630493164
G2102390,23.603666305541992
G4804573,24.165700912475586
G2900490,26.836645126342773
G1301350,26.00982666015625
G2900290,19.75514030456543
G4700890,21.43840789794922
G1701770,16.612224578857422
G0500010,26.041194915771484
G3701590,25.46328353881836
G2900730,19.420679092407227
G2901570,16.416229248046875
G1901770,21.407991409301758
G1302050,9.4262056350708
G1801350,20.800376892089844
G1901830,25.542577743530273
G2700250,11.679099082946777
G0501270,16.874958038330078
G3701390,17.42304229736328
G1801290,18.919862747192383
G1300010,6.413824558258057
G1300650,4.855798244476318
G2701545,23.282503128051758
