GISJOIN,silt_mean
G2200750,25.52967071533203
G1800750,59.916587829589844
G5101430,28.751510620117188
G1801250,63.099693298339844
G4701810,66.93684387207031
G1900870,54.8324089050293
G5101570,46.68391799926758
G1701590,65.7000503540039
G5000130,51.856868743896484
G3700710,32.94066619873047
G4500750,16.467071533203125
G2900690,40.43097686767578
G1303050,8.434526443481445
G5501270,62.88365173339844
G1302510,19.489700317382812
G0500390,52.95866012573242
G1301510,22.78304100036621
G2601610,31.046424865722656
G4200050,57.246089935302734
G2101350,59.57132339477539
G1801630,64.96143341064453
G0601150,37.647544860839844
G4701610,67.38023376464844
G4804090,23.165529251098633
G1303170,29.614723205566406
G2100050,55.9952392578125
G5100290,44.62034606933594
G4803210,26.925800323486328
G5101197,57.417083740234375
G3900110,58.41623306274414
G5101555,49.4046516418457
G2901850,55.22090148925781
G3701430,36.11470031738281
G0600830,34.40769577026367
G3600570,61.872955322265625
G2102230,61.99283981323242
G1801430,65.99121856689453
G2750155,38.85418701171875
G4701470,67.83405303955078
G3701130,36.504051208496094
G2201170,41.42003631591797
G3700390,35.900020599365234
G1900530,50.12942886352539
G2400050,55.38302230834961
G1201090,5.545072078704834
G4803390,22.16096305847168
G5100190,33.34721374511719
G2901690,64.09857177734375
G5101110,34.61438751220703
G5101933,63.6744499206543
G3600950,64.27213287353516
G3900090,59.699649810791016
G4200670,48.52040100097656
G4200790,57.01351547241211
G3600370,60.721031188964844
G0101090,26.46068000793457
G2200790,41.02388000488281
G2901390,53.59777069091797
G4950535,44.131351470947266
G4801870,23.394027709960938
G1801050,66.84364318847656
G4701190,63.223907470703125
G1800850,34.179359436035156
G1801090,59.96643829345703
G3700610,19.479225158691406
G1800130,65.919219970703125
G2900290,65.109130859375
G2100410,62.30472183227539
G1700330,62.532012939453125
G4201290,59.836734771728516
G3300050,39.317604064941406
G2100730,57.76128005981445
G4701490,55.056968688964844
G2101990,54.65565872192383
G2800950,40.322669982910156
G2800510,56.8765869140625
G4500290,20.14148712158203
G5100090,44.33927536010742
G1300455,53.873931884765625
G2300090,38.63112258911133
G2200150,44.96472930908203
G3900350,62.32816696166992
G4801670,34.71335983276367
G3901490,61.027191162109375
G2400290,57.04220962524414
G4800210,24.72756004333496
G0500690,47.68349075317383
G4700670,54.4786491394043
G2901010,60.06210708618164
G1901210,52.57884979248047
G0100910,32.285011291503906
G2900190,54.825286865234375
G2900770,66.86075592041016
G2101250,61.439876556396484
G2400350,48.24272918701172
G3400310,40.10272216796875
G5101390,50.72318649291992
G3901510,59.349586486816406
G1700030,57.1502571105957
G1701490,62.694087982177734
G0101130,23.059890747070312
G1801790,61.11249923706055
G2102290,55.103492736816406
G1701850,62.03131103515625
G5101193,61.946285247802734
G2801270,37.65177917480469
G3900310,62.72922134399414
G3700790,23.678634643554688
G0100590,40.72827911376953
G0500970,43.65507507324219
G3701590,32.14840316772461
G4700810,68.25603485107422
G3400270,39.328819274902344
G3701290,20.513574600219727
G2100430,60.31045150756836
G3701770,32.13560485839844
G1200750,6.439280033111572
G0500030,61.12567138671875
G1301590,24.21839141845703
G2801390,41.86282730102539
G5500675,32.890968322753906
G2601270,13.380849838256836
G3400010,16.48424530029297
G3600270,55.5643196105957
G4804590,26.82122802734375
G0101010,32.444366455078125
G2801210,52.91074752807617
G4200290,62.57284927368164
G5101913,55.42766571044922
G5100237,61.72071075439453
G5101057,39.71973419189453
G2200070,35.42474365234375
G1700930,61.43999481201172
G2100810,54.115150451660156
G1701730,65.9644546508789
G2400190,47.99542236328125
G4200470,47.44416046142578
G4801390,28.006969451904297
G0500290,42.526058197021484
G3901310,64.66593170166016
G2901270,57.811702728271484
G2101150,44.0443000793457
G5000250,45.56568145751953
G1701930,61.820350646972656
G1901850,51.15160369873047
G2800370,51.91579818725586
G4201230,55.800621032714844
G4803310,29.362430572509766
G3900650,59.507774353027344
G1701630,63.881195068359375
G4701850,50.51449203491211
G2600910,42.62730026245117
G4804530,30.589162826538086
G1701530,64.53889465332031
G5501030,54.18935012817383
G2200270,32.08282470703125
G4500670,26.075117111206055
G5500090,31.32773780822754
G5100790,50.11684799194336
G5101830,29.50116729736328
G4802770,30.429826736450195
G4500190,19.127893447875977
G3901430,39.156646728515625
G4802230,29.71673011779785
G5500450,59.08494567871094
G2601570,26.701244354248047
G2100990,57.81161880493164
G2900410,56.033058166503906
G4804690,23.75139617919922
G5100930,28.027050018310547
G4700410,63.880558013916016
G4802930,25.52027702331543
G3300030,29.760168075561523
G1800190,65.91131591796875
G3901050,58.912437438964844
G4800655,21.111173629760742
G2801350,48.61618423461914
G3600670,57.166587829589844
G5101910,56.446102142333984
G4950615,37.20270919799805
G3700510,16.61835289001465
G4500310,18.584707260131836
G3300090,35.740966796875
G0100050,23.036239624023438
G2600770,31.600982666015625
G4804710,21.81770896911621
G3600750,38.51841735839844
G0600850,37.48011779785156
G4200330,51.460140228271484
G4803550,24.20562171936035
G2901230,65.75135803222656
G4700490,47.048866271972656
G3700870,36.09744644165039
G4701790,48.62184143066406
G1801690,55.23708724975586
G5100350,41.72887420654297
G2800010,58.097572326660156
G3600110,57.56431198120117
G4804030,28.574785232543945
G1701330,61.55678939819336
G2901050,66.827789306640625
G2101630,66.36573028564453
G1300550,55.21276092529297
G4800370,41.39848327636719
G2101370,60.54277420043945
G5100310,39.37432098388672
G2101710,58.11971664428711
