GISJOIN,sand_mean
G2200750,12.54786491394043
G1800750,16.48232078552246
G5101430,50.030338287353516
G1801250,20.048574447631836
G4701810,17.71901512145996
G1900870,20.480276107788086
G5101570,32.80204391479492
G1701590,18.47840690612793
G5000130,26.280498504638672
G3700710,40.80023193359375
G4500750,75.21770477294922
G2900690,34.88655090332031
G1303050,86.99800872802734
G5501270,22.04904556274414
G1302510,68.536224365234375
G0500390,32.90907669067383
G1301510,47.316200256347656
G2601610,52.942440032958984
G4200050,26.878768920898438
G2101350,19.904569625854492
G1801630,18.247426986694336
G0601150,48.1983757019043
G4701610,17.276592254638672
G4804090,41.653526306152344
G1303170,40.849586486816406
G2100050,10.525443077087402
G5100290,29.951427459716797
G4803210,38.446807861328125
G5101197,25.979013442993164
G3900110,17.582786560058594
G5101555,35.16058349609375
G2901850,27.111637115478516
G3701430,45.854042053222656
G0600830,46.100250244140625
G3600570,22.200027465820312
G2102230,13.566851615905762
G1801430,16.519678115844727
G2750155,40.111690521240234
G4701470,16.552396774291992
G3701130,45.59357833862305
G2201170,45.57772445678711
G3700390,45.95845031738281
G1900530,27.02943992614746
G2400050,28.836294174194336
G1201090,90.93927764892578
G4803390,64.57547760009766
G5100190,43.45255661010742
G2901690,18.910131454467773
G5101110,41.30889892578125
G5101933,18.126264572143555
G3600950,20.685354232788086
G3900090,17.800979614257812
G4200670,33.675926208496094
G4200790,28.978710174560547
G3600370,23.052371978759766
G0101090,60.10231399536133
G2200790,36.67519760131836
G2901390,20.172670364379883
G4950535,35.398582458496094
G4801870,43.48828125
G1801050,18.199974060058594
G4701190,16.223867416381836
G1800850,49.76255416870117
G1801090,22.338594436645508
G3700610,71.36882019042969
G1800130,19.938961029052734
G2900290,15.221240043640137
G2100410,13.944490432739258
G1700330,21.330059051513672
G4201290,23.98096466064453
G3300050,49.62281799316406
G2100730,11.382620811462402
G4701490,15.99210262298584
G2101990,25.653724670410156
G2800950,34.64992904663086
G2800510,20.398916244506836
G4500290,65.79964447021484
G5100090,31.548023223876953
G1300455,28.515316009521484
G2300090,50.55451965332031
G2200150,31.35529327392578
G3900350,18.83176612854004
G4801670,27.116802215576172
G3901490,16.50693702697754
G2400290,28.526275634765625
G4800210,56.53936004638672
G0500690,27.632871627807617
G4700670,23.559621810913086
G2901010,18.918909072875977
G1901210,17.01415252685547
G0100910,34.85674285888672
G2900190,23.411645889282227
G2900770,16.48567008972168
G2101250,22.389389038085938
G2400350,39.06801223754883
G3400310,46.13345718383789
G5101390,33.377227783203125
G3901510,25.225982666015625
G1700030,16.56089210510254
G1701490,18.252534866333008
G0101130,60.22478103637695
G1801790,15.36056900024414
G2102290,11.820637702941895
G1701850,18.86890411376953
G5101193,21.536956787109375
G2801270,47.31056213378906
G3900310,21.8403263092041
G3700790,65.98885345458984
G0100590,41.66414260864258
G0500970,38.7326545715332
G3701590,42.46238708496094
G4700810,16.375490188598633
G3400270,46.54523468017578
G3701290,70.2818832397461
G2100430,19.0020751953125
G3701770,55.02019119262695
G1200750,88.32889556884766
G0500030,20.991779327392578
G1301590,46.58312225341797
G2801390,37.91139602661133
G5500675,49.43635940551758
G2601270,80.40306854248047
G3400010,77.37242126464844
G3600270,31.744966506958008
G4804590,60.26676940917969
G0101010,38.988868713378906
G2801210,27.66194725036621
G4200290,21.01170539855957
G5101913,24.422401428222656
G5100237,19.745901107788086
G5101057,43.548179626464844
G2200070,19.080244064331055
G1700930,16.647457122802734
G2100810,9.819432258605957
G1701730,16.451404571533203
G2400190,38.7021369934082
G4200470,36.19496154785156
G4801390,20.48342514038086
G0500290,40.00400161743164
G3901310,18.202896118164062
G2901270,19.48621368408203
G2101150,38.92926788330078
G5000250,41.399818420410156
G1701930,19.10487174987793
G1901850,26.0926456451416
G2800370,33.11824417114258
G4201230,29.251218795776367
G4803310,35.530517578125
G3900650,15.522624969482422
G1701630,16.539445877075195
G4701850,28.43288230895996
G2600910,33.24412155151367
G4804530,31.7066707611084
G1701530,16.45805549621582
G5501030,32.434349060058594
G2200270,53.2210578918457
G4500670,58.36775207519531
G5500090,58.0109977722168
G5100790,35.78517150878906
G5101830,53.84178161621094
