GISJOIN,clay_mean
G2200750,23.92234230041504
G1800750,23.312740325927734
G5101430,21.630836486816406
G1801250,16.810110092163086
G4701810,15.272350311279297
G1900870,24.683855056762695
G5101570,20.92106819152832
G1701590,15.648300170898438
G5000130,21.862632751464844
G3700710,26.27538299560547
G4500750,8.369349479675293
G2900690,24.530838012695312
G1303050,4.684290885925293
G5501270,14.916818618774414
G1302510,12.041471481323242
G0500390,14.342905044555664
G1301510,28.91407012939453
G2601610,16.102359771728516
G4200050,15.807193756103516
G2101350,20.650882720947266
G1801630,16.790565490722656
G0601150,13.932527542114258
G4701610,15.36404037475586
G4804090,34.87799072265625
G1303170,29.552534103393555
G2100050,33.06783676147461
G5100290,25.485610961914062
G4803210,34.716636657714844
G5101197,16.9351749420166
G3900110,23.55415153503418
G5101555,15.565272331237793
G2901850,17.7322940826416
G3701430,17.902206420898438
G0600830,19.60784912109375
G3600570,15.9644136428833
G2102230,24.63953399658203
G1801430,17.478885650634766
G2750155,21.066688537597656
G4701470,15.840446472167969
G3701130,17.858652114868164
G2201170,13.349132537841797
G3700390,17.893423080444336
G1900530,22.888242721557617
G2400050,16.012109756469727
G1201090,3.454779863357544
G4803390,13.435198783874512
G5100190,23.790666580200195
G2901690,17.08738136291504
G5101110,24.447429656982422
G5101933,17.871435165405273
G3600950,14.980619430541992
G3900090,22.421607971191406
G4200670,17.933313369750977
G4200790,14.010676383972168
G3600370,16.025711059570312
G0101090,13.317553520202637
G2200790,22.31494903564453
G2901390,26.09842872619629
G4950535,20.506328582763672
G4801870,32.9183349609375
G1801050,14.955558776855469
G4701190,20.61944007873535
G1800850,16.27227783203125
G1801090,17.624263763427734
G3700610,8.97340202331543
G1800130,13.908344268798828
G2900290,19.75514030456543
G2100410,23.81051254272461
G1700330,16.058645248413086
G4201290,15.981498718261719
G3300050,11.195311546325684
G2100730,30.64278793334961
G4701490,28.851478576660156
G2101990,19.728147506713867
G2800950,25.026254653930664
G2800510,22.71732521057129
G4500290,9.6425018310546875
G5100090,24.328737258911133
G1300455,17.752710342407227
G2300090,10.775470733642578
G2200150,23.815553665161133
G3900350,18.69611358642578
G4801670,38.20718002319336
G3901490,22.28152084350586
G2400290,14.498377799987793
G4800210,19.023990631103516
G0500690,24.801488876342773
G4700670,21.838592529296875
G2901010,20.833322525024414
G1901210,30.166723251342773
G0100910,32.76310729980469
G2900190,21.73273468017578
G2900770,16.72664451599121
G2101250,16.47319793701172
G2400350,12.785843849182129
G3400310,13.521086692810059
G5101390,15.886123657226562
G3901510,15.423771858215332
G1700030,26.395044326782227
G1701490,18.9897518157959
G0101130,16.53280258178711
G1801790,23.01964569091797
G2102290,32.90320587158203
G1701850,19.2000789642334
G5101193,16.337095260620117
G2801270,15.010828971862793
G3900310,15.468029022216797
G3700790,10.194805145263672
G0100590,17.45415687561035
G0500970,17.612274169921875
G3701590,25.46328353881836
G4700810,15.60461711883545
G3400270,13.97180461883545
G3701290,9.062418937683105
G2100430,20.681617736816406
G3701770,12.829668045043945
G1200750,5.205837249755859
G0500030,17.933544158935547
G1301590,29.145231246948242
G2801390,20.192020416259766
G5500675,15.455598831176758
G2601270,6.252567291259766
G3400010,6.351041793823242
G3600270,12.765973091125488
G4804590,12.703353881835938
G0101010,28.543302536010742
