GISJOIN,sand_mean
G5101190,58.32469940185547
G3701390,47.57811737060547
G4200950,32.73820877075195
G3900730,20.793428421020508
G2800910,52.795265197753906
G1800695,41.53361892700195
G2300050,54.950714111328125
G3901190,18.908201217651367
G3701250,58.855125427246094
G3700310,69.691558837890625
G1800270,24.13158416748047
G2950035,16.81410789489746
G4500450,47.9048957824707
G5101290,48.14952850341797
G5100970,61.37959671020508
G2500030,39.138282775878906
G3700510,73.791961669921875
G0100010,54.52853775024414
G5101650,29.710241317749023
G3701350,38.19236373901367
G2300290,37.06306076049805
G3700530,60.24085998535156
G2200250,24.606111526489258
G2400250,25.891454696655273
G4200190,29.73702621459961
G2300250,29.53617286682129
G2200870,12.597332954406738
G4500390,44.92015075683594
G5100310,37.167213439941406
G3600750,49.360023498535156
G4700250,22.35404396057129
G3600850,38.683780670166016
G3400030,44.59645462036133
G2101210,22.45643424987793
G5101010,58.78220748901367
G1301950,48.5512809753418
G0900150,57.73247528076172
G5100290,29.01496696472168
G4201010,20.666357040405273
G1300010,83.9660873413086
G5101790,50.37792205810547
G3600870,43.71596908569336
G1000030,28.692548751831055
G4700710,28.83582878112793
G3600630,22.22721290588379
G3600070,20.716550827026367
G3701090,43.589454650878906
G2650255,42.526336669921875
G1302210,46.37720489501953
G2300190,30.38249397277832
G0101150,28.591047286987305
G5101050,29.108240127563477
G5101197,26.808685302734375
G3901550,20.16053009033203
G4500910,41.7663688659668
G3700410,55.241703033447266
G3600910,51.85521697998047
G5107600,49.25898361206055
G1301330,47.910545349121094
G3700230,44.24688720703125
G2200730,31.63349723815918
G5100730,57.875213623046875
G1801770,20.70310401916504
G4200450,19.363380432128906
G1302890,69.64783477783203
G3901290,18.542070388793945
G0900030,50.360984802246094
G1701570,18.10352325439453
G3901390,18.85328483581543
G3400270,46.54523468017578
G3701530,70.01017761230469
G1801010,19.958600997924805
G4201070,36.387569427490234
G3900870,21.47756576538086
G4700570,22.0079402923584
G3700650,70.31925201416016
G4700850,19.270950317382812
G2950155,21.86165428161621
G0550377,29.27161979675293
G2800410,49.79811477661133
G0550295,41.047401428222656
G2500210,61.1917839050293
G4700990,16.69307518005371
G3701450,37.150325775146484
G1700050,17.593231201171875
G3300170,59.47198486328125
G1700550,18.013086318969727
G4500010,50.05856704711914
G4200790,28.441740036010742
G0100630,39.59410095214844
G5101850,35.363067626953125
G2200075,17.40155792236328
G1301810,36.41900634765625
G2100310,17.8198299407959
G3601070,20.31853675842285
