GISJOIN,sand_mean
G3600390,25.156949996948242
G2500010,82.40677642822266
G2100850,17.915525436401367
G2600810,71.10047912597656
G1800210,20.166637420654297
G3601030,65.10982513427734
G1302410,49.30425262451172
G2100690,15.7818021774292
G3400270,46.54523468017578
G1701710,19.925357818603516
G2300070,50.38578796386719
G3700810,47.434608459472656
G3701430,45.854042053222656
G4701430,28.016565322875977
G2300310,61.36996078491211
G3600510,22.798355102539062
G2102070,18.905431747436523
G1800510,19.993776321411133
G1701490,18.252534866333008
G5100590,40.235145568847656
G1300450,45.699798583984375
G4701870,17.995485305786133
G3900790,22.58052635192871
G2101370,17.450809478759766
G5101330,60.84482192993164
G4701130,23.451038360595703
G2101510,15.326570510864258
G3900130,16.283554077148438
G3901530,23.14334487915039
G1801770,20.81110954284668
G4200590,17.17679786682129
G5101215,38.44111633300781
G2800890,23.94355010986328
G2300290,40.9604377746582
G1700990,17.506912231445312
G4700250,22.35404396057129
G1800490,57.19325637817383
G3600250,26.656681060791016
G2600990,40.88794708251953
G5550215,30.648815155029297
G5550075,24.47846031188965
G2100370,11.603621482849121
G2100470,16.333234786987305
G0501210,18.429405212402344
G1701190,17.240005493164062
G2102090,11.866475105285645
G5000250,41.399818420410156
G0500710,40.13630676269531
G0900130,55.9863166809082
G2800330,19.477209091186523
G5101110,41.30889892578125
G3901330,21.13280487060547
G1800730,43.60953140258789
G2900310,18.67375373840332
G2801410,43.72404098510742
G5101415,35.91260528564453
G2100050,10.525443077087402
G5550295,19.91360092163086
G3900310,21.8403263092041
G2100890,18.29827117919922
G4701350,22.194562911987305
G4200350,44.29357147216797
G3900650,15.582477569580078
G3700190,70.521881103515625
G1801730,18.750370025634766
G5550395,22.04904556274414
G2200630,24.984756469726562
G4200610,36.18404769897461
G4500890,69.20890045166016
G2800010,21.41477394104004
G4700070,32.83224868774414
G1800450,22.65399742126465
G1302310,49.6761360168457
G2901890,17.617633819580078
G2800410,49.81006622314453
G0101310,41.55622863769531
G4200510,27.552066802978516
G1301270,50.105194091796875
G5550035,26.062686920166016
G3900470,16.429105758666992
G3700130,49.210567474365234
G1801810,51.548648834228516
G4201150,25.047975540161133
G2400330,42.70150375366211
G2801510,21.17554473876953
G5101290,48.1585807800293
G4500190,59.9539909362793
G3600170,21.745323181152344
G2101770,17.230680465698242
G2100590,15.903948783874512
G3601070,20.581897735595703
G2801630,18.53289031982422
G0500070,17.26107406616211
G2800290,29.61125373840332
G3600750,49.360023498535156
G4701390,39.42703628540039
G5100030,38.03926467895508
G5550095,20.53334617614746
G5101230,55.916744232177734
G1701070,17.35759735107422
G0100850,37.529380798339844
G2900890,20.538318634033203
G1700210,15.73908519744873
G5550315,22.182584762573242
G5100953,21.864139556884766
G2902050,23.099103927612305
G1700650,17.955215454101562
G3700610,71.36882019042969
G5101970,25.435760498046875
G3701030,61.44158172607422
G3300090,53.83732223510742
G4701250,16.31475830078125
G3701450,37.150325775146484
G2200710,20.31524085998535
G2601470,43.15549850463867
G1801710,16.85227394104004
G4700810,16.48656463623047
G1301330,47.79228210449219
G2901210,29.238372802734375
G3600830,31.136011123657227
G4500630,71.43754577636719
G1700010,17.846038818359375
G3600730,27.47774314880371
G1801070,17.152441024780273
G2300110,44.04030227661133
G3900570,19.243478775024414
G1250175,90.41923522949219
G2902010,43.05168533325195
G2101930,28.60135841369629
G0101070,52.43502426147461
G1701850,18.86890411376953
G1800930,17.079727172851562
G3300150,57.89115524291992
G5101990,46.400943756103516
G3701070,66.8713607788086
G2600910,33.24412155151367
G3700250,38.43103790283203
G3900910,17.32577896118164
G2200690,38.803192138671875
G4500010,50.05856704711914
G1800010,16.326322555541992
G0100770,22.00812530517578
G2101030,12.03653335571289
G2900950,14.151906967163086
G3400150,69.95436096191406
G1801670,31.636611938476562
G2600210,48.75916290283203
G1301530,66.3718032836914
G2100730,11.382620811462402
G0500470,38.73936462402344
G5100670,45.85025405883789
G5550175,21.65688133239746
G2901370,22.865509033203125
G2600650,49.943546295166016
G2200170,39.814239501953125
G3700470,61.03200149536133
G2101350,19.904569625854492
G5550195,22.343305587768555
G3900210,18.898847579956055
G2900270,24.337810516357422
G2100150,12.676716804504395
G1701750,16.32562255859375
G4201250,17.66280174255371
G1250075,91.04730224609375
G1250135,80.836151123046875
G2100830,18.59906005859375
G4500070,50.12285614013672
G2900490,24.9954833984375
G2601490,71.95375061035156
G5101190,58.32469940185547
G4200830,33.03786087036133
G4200090,33.75477600097656
G1701950,29.69467544555664
G0501410,44.3034553527832
G4500570,44.47992706298828
G5550415,25.941661834716797
G1301390,45.565032958984375
G1700610,17.68964195251465
G3700970,44.776309967041016
G4201290,23.98096466064453
G2902230,22.13377571105957
G1801010,19.91362190246582
G3900370,16.685077667236328
G1701610,21.54095458984375
G3700790,65.98885345458984
G2902210,17.827743530273438
G1302710,76.57073211669922
G1801290,17.924789428710938
G0100390,61.49338912963867
G4200410,28.868616104125977
G5100730,57.875213623046875
G5100360,50.662479400634766
G2600450,49.63209533691406
G2100510,26.856882095336914
G4700790,27.91480255126953
G4200210,34.55173873901367
G4500690,62.32940673828125
G2901870,17.37913703918457
G0500930,23.877574920654297
G3700870,45.73238754272461
G5101270,57.39755630493164
G3900750,21.801111221313477
G5100010,51.49924087524414
G4400090,53.89381790161133
G3900550,18.268648147583008
G2101810,10.605825424194336
G0100030,60.41277313232422
G1250315,87.7379150390625
G1250295,91.01171875
G1801390,17.446819305419922
G1800610,16.194307327270508
G1801370,17.042158126831055
G5550435,22.480775833129883
G2901390,20.19631576538086
G0100190,35.244937896728516
G1301550,75.97041320800781
G2100870,17.058664321899414
G1300870,74.38920593261719
G5100710,36.5544319152832
G2601575,50.42482376098633
G2100030,16.496013641357422
G5101770,44.039493560791016
G3700290,52.32273864746094
G1700150,19.373626708984375
G2101730,19.3239688873291
G2801210,27.66194725036621
G3400110,63.04181671142578
G5101670,32.21280288696289
G5000230,38.82482147216797
G1800410,18.950864791870117
G4200770,26.974193572998047
G3900970,15.74293327331543
G0500890,22.91057014465332
G0900050,54.948280334472656
G1302510,68.536224365234375
G2400430,26.870756149291992
G4700290,34.8574104309082
G2400290,28.526275634765625
G1700230,20.111909866333008
G5550255,21.610746383666992
G3700210,43.0909423828125
G3900230,18.697368621826172
G3701910,69.82415008544922
G3901670,15.968045234680176
G1250255,88.94635772705078
G5101437,26.5651912689209
G3900590,16.583629608154297
G3601010,20.546167373657227
G0500170,18.577362060546875
G0100710,33.10456085205078
G5101630,28.103757858276367
G2102290,11.820637702941895
G4200810,31.900615692138672
G4700730,24.11744499206543
G2101670,13.322230339050293
G3901290,18.542070388793945
G3601150,30.577919006347656
G5100810,43.96810531616211
G2100270,17.790056228637695
G1302170,48.68795394897461
G2801130,40.30215835571289
G4700410,15.628212928771973
G2801290,47.964500427246094
G2500130,56.25626754760742
G2400050,28.836294174194336
G3601090,21.040546417236328
G1700890,19.05613899230957
G4700430,16.60700035095215
G5101930,58.883506774902344
G4700590,25.140472412109375
G0500630,34.38227081298828
G2600770,54.91986083984375
G0500590,37.68124008178711
G4700050,25.706907272338867
G1250235,82.44950103759766
G1700510,18.084217071533203
