GISJOIN,silt_mean
G3600390,59.46908950805664
G2500010,12.980875968933105
G2100850,67.26122283935547
G2600810,20.152509689331055
G1800210,63.641117095947266
G3601030,25.65764808654785
G1302410,32.574893951416016
G2100690,59.774776458740234
G3400270,39.328819274902344
G1701710,61.42500686645508
G2300070,38.88679504394531
G3700810,28.83108901977539
G3701430,36.11470031738281
G4701430,53.277137756347656
G2300310,29.580984115600586
G3600510,61.806697845458984
G2102070,63.33618927001953
G1800510,62.34697341918945
G1701490,62.694087982177734
G5100590,45.65896987915039
G1300450,27.056413650512695
G4701870,60.15625
G3900790,60.217079162597656
G2101370,60.605133056640625
G5101330,27.945838928222656
G4701130,62.30162811279297
G2101510,58.50590133666992
G3900130,62.43965148925781
G3901530,60.524776458740234
G1801770,58.209449768066406
G4200590,67.733978271484375
G5101215,47.482330322265625
G2800890,61.54420852661133
G2300290,47.49626541137695
G1700990,61.29209899902344
G4700250,58.533226013183594
G1800490,28.793794631958008
G3600250,58.42839050292969
G2600990,35.23485565185547
G5550215,48.99162673950195
G5550075,60.43331527709961
G2100370,56.697872161865234
G2100470,66.466796875
G0501210,59.077392578125
G1701190,64.20093536376953
G2102090,58.232757568359375
G5000250,45.56568145751953
G0500710,42.02962875366211
G0900130,33.9650764465332
G2800330,65.12247467041016
G5101110,34.61438751220703
G3901330,60.9443473815918
G1800730,41.211971282958984
G2900310,66.1881332397461
G2801410,39.07142639160156
G5101415,48.46002197265625
G2100050,55.9952392578125
G5550295,58.535499572753906
G3900310,62.72922134399414
G2100890,62.811256408691406
G4701350,60.84199523925781
G4200350,40.624515533447266
G3900650,59.143836975097656
G3700190,20.402013778686523
G1801730,63.484806060791016
G5550395,62.88365173339844
G2200630,59.0980110168457
G4200610,47.33378601074219
G4500890,20.15555763244629
G2800010,58.097572326660156
G4700070,47.26689529418945
G1800450,58.3289680480957
G1302310,22.137895584106445
G2901890,65.5874252319336
G2800410,35.777061462402344
G0101310,33.31790542602539
G4200510,56.41884994506836
G1301270,30.609825134277344
G5550035,52.77786636352539
G3900470,60.705596923828125
G3700130,32.98969650268555
G1801810,34.02503204345703
G4201150,60.71167755126953
G2400330,44.56331253051758
G2801510,32.8896484375
G5101290,34.839874267578125
G4500190,19.127893447875977
G3600170,64.02803039550781
G2101770,64.3012924194336
G2100590,68.18408966064453
G3601070,65.26043701171875
G2801630,63.83403396606445
G0500070,68.70344543457031
G2800290,53.68330764770508
G3600750,38.51841735839844
G4701390,41.96754455566406
G5100030,44.82905960083008
G5550095,64.26573944091797
G5101230,30.619678497314453
G1701070,66.8305435180664
G0100850,32.73249053955078
G2900890,58.69683837890625
G1700210,64.96968841552734
G5550315,62.229129791259766
G5100953,56.81016540527344
G2902050,53.39442825317383
G1700650,65.03807067871094
G3700610,19.479225158691406
G5101970,56.09214782714844
G3701030,27.107223510742188
G3300090,35.740966796875
G4701250,67.87968444824219
G3701450,41.53083801269531
G2200710,40.81733703613281
G2601470,38.18885803222656
G1801710,62.296287536621094
G4700810,68.17695617675781
G1301330,23.593910217285156
G2901210,46.76058578491211
G3600830,55.60029220581055
G4500630,19.36404037475586
G1700010,62.93033218383789
G3600730,56.599205017089844
G1801070,63.01300811767578
G2300110,44.43126678466797
G3900570,61.02434539794922
G1250175,5.586886882781982
G2902010,35.181793212890625
G2101930,55.38386154174805
G0101070,31.506900787353516
G1701850,62.03131103515625
G1800930,66.61397552490234
G3300150,32.327056884765625
G5101990,33.929386138916016
G3701070,23.030202865600586
G2600910,42.62730026245117
G3700250,38.74699020385742
G3900910,58.4083366394043
G2200690,39.70716094970703
G4500010,26.128093719482422
G1800010,58.47487258911133
G0100770,62.286529541015625
G2101030,59.089744567871094
G2900950,63.5021858215332
G3400150,21.65285873413086
G1801670,53.15427017211914
G2600210,35.360843658447266
G1301530,20.836849212646484
G2100730,57.76128005981445
G0500470,43.610565185546875
G5100670,30.47000503540039
G5550175,62.44701385498047
G2901370,53.8679084777832
G2600650,34.20115280151367
G2200170,37.315677642822266
G3700470,26.100221633911133
G2101350,59.57132339477539
G5550195,62.297935485839844
G3900210,60.4124755859375
G2900270,50.177886962890625
G2100150,58.68179702758789
G1701750,65.87601470947266
G4201250,67.35774993896484
G1250075,5.553226947784424
G1250135,12.181493759155273
G2100830,67.8363265991211
G4500070,26.317129135131836
G2900490,47.78810501098633
G2601490,19.781055450439453
G5101190,28.91897964477539
G4200830,50.83976745605469
G4200090,50.342716217041016
G1701950,54.27894973754883
G0501410,36.72103500366211
G4500570,37.14130401611328
G5550415,55.207054138183594
G1301390,24.483787536621094
G1700610,63.03704833984375
G3700970,27.73501205444336
G4201290,59.836734771728516
G2902230,61.12136459350586
G1801010,66.05775451660156
G3900370,62.15914535522461
G1701610,61.123538970947266
G3700790,23.678634643554688
G2902210,65.07500457763672
G1302710,15.531791687011719
G1801290,63.20329666137695
G0100390,26.365434646606445
G4200410,53.886539459228516
G5100730,29.786449432373047
G5100360,31.778451919555664
G2600450,34.76048278808594
G2100510,56.96421813964844
G4700790,57.22652053833008
G4200210,49.818363189697266
G4500690,23.028541564941406
G2901870,64.400848388671875
G0500930,41.26118087768555
G3700870,36.09744644165039
G5101270,29.732685089111328
G3900750,63.206809997558594
G5100010,35.44300842285156
G4400090,36.14487838745117
G3900550,64.92058563232422
G2101810,53.6037483215332
G0100030,27.634092330932617
G1250315,7.08128023147583
G1250295,5.396441459655762
G1801390,62.493553161621094
G1800610,66.92235565185547
G1801370,65.970703125
G5550435,51.810176849365234
G2901390,53.62759017944336
G0100190,47.32029724121094
G1301550,16.003725051879883
G2100870,64.01434326171875
G1300870,16.4501895904541
G5100710,46.256587982177734
G2601575,38.870689392089844
G2100030,66.71964263916016
G5101770,39.40397262573242
G3700290,33.8117561340332
G1700150,64.604156494140625
G2101730,57.677425384521484
G2801210,52.91074752807617
G3400110,27.909440994262695
G5101670,48.77099609375
G5000230,48.58536148071289
G1800410,60.93143081665039
G4200770,56.270240783691406
G3900970,63.52623748779297
G0500890,62.36030960083008
G0900050,34.49300003051758
G1302510,19.489700317382812
G2400430,53.93315124511719
G4700290,46.2849235534668
G2400290,57.04220962524414
G1700230,63.585941314697266
G5550255,59.6807861328125
G3700210,37.80543518066406
G3900230,60.549617767333984
G3701910,20.857572555541992
G3901670,58.65182113647461
G1250255,6.480910301208496
G5101437,57.04047393798828
G3900590,61.85413360595703
G3601010,65.28289031982422
G0500170,49.9387321472168
G0100710,45.88043975830078
G5101630,49.216896057128906
G2102290,55.103492736816406
G4200810,53.275230407714844
G4700730,55.1011848449707
G2101670,59.68684005737305
G3901290,60.662445068359375
G3601150,52.472877502441406
G5100810,34.773651123046875
G2100270,67.30024719238281
G1302170,24.860275268554688
G2801130,43.235660552978516
G4700410,63.880558013916016
G2801290,33.919715881347656
G2500130,32.87025833129883
G2400050,55.38302230834961
G3601090,64.20977783203125
G1700890,61.50666809082031
G4700430,68.05377197265625
G5101930,28.6949462890625
G4700590,55.1450080871582
