GISJOIN,silt_mean
G4700990,68.12244415283203
G3101630,63.5740966796875
G2100770,56.87735366821289
G4100550,60.867156982421875
G2900810,46.21421813964844
G4803190,29.754911422729492
G1200090,5.424551010131836
G1700130,61.161376953125
G2700910,43.44195556640625
G5100850,28.41924476623535
G2000650,61.42927932739258
G1301030,14.151926040649414
G5300490,57.00873947143555
G2200890,35.41160202026367
G2701590,18.273305892944336
G4900270,39.890933990478516
G0500510,44.58759689331055
G2600370,37.111873626708984
G4804670,28.941757202148438
G3101610,19.30742645263672
G0500370,57.88325500488281
G2900290,65.10152435302734
G3000090,35.86884307861328
G2900450,47.04180145263672
G4100510,54.83679962158203
G0500570,39.2810173034668
G2700350,24.262100219726562
G4801370,23.285947799682617
G2000470,35.722293853759766
G0100090,45.471683502197266
G2900710,60.04539489746094
G1300550,55.21276092529297
G5500390,61.15913772583008
G3101510,59.421165466308594
G3100530,52.96928405761719
G5000250,45.56568145751953
G4700670,54.31105041503906
G4500510,19.10605812072754
G3701650,17.000534057617188
G0450035,32.93476486206055
G2800430,57.309635162353516
G2902290,66.80231475830078
G4200490,59.443084716796875
G3809055,38.39019775390625
G2601470,44.40481948852539
G4804210,35.73630905151367
G1800850,34.179359436035156
G2901350,66.3185043334961
G0600770,33.70104217529297
G1201270,5.579945087432861
G1901770,53.01873779296875
G5100870,29.384599685668945
G2000150,54.1814079284668
G5300190,46.06359100341797
G0100010,27.344757080078125
G4100670,61.19469451904297
G3100130,31.429176330566406
G1800610,66.92235565185547
G4200970,53.40822982788086
G1700330,62.532012939453125
G3101690,61.71422576904297
G2800710,42.11925506591797
G4800170,26.802513122558594
G5100690,53.61754608154297
G3300050,39.317604064941406
G3700030,28.10266876220703
G2100110,57.64799880981445
G5101910,56.431243896484375
G1800910,33.666168212890625
G2801390,39.54182052612305
G4201090,50.70005798339844
G5400930,55.024986267089844
G1301910,32.320011138916016
G5100430,54.387001037597656
G4700450,57.669395446777344
G2300170,34.96830749511719
G4803890,36.07663345336914
G2500070,17.015281677246094
G0501010,41.40007019042969
G2100510,57.40200424194336
G1200030,5.863639831542969
G4800430,31.609189987182617
G3700290,33.8117561340332
G2601550,34.62179946899414
G1800130,65.919219970703125
G5300055,58.6138801574707
G3100590,63.95268249511719
G0600390,32.227046966552734
G2101190,52.40755081176758
G5400770,57.1132926940918
G0600790,34.93757629394531
G5000050,45.19980239868164
G3701450,41.53083801269531
G4801890,29.0576171875
G5300570,39.853851318359375
G5300550,45.53569412231445
G3101270,53.423927307128906
G3901630,62.63694763183594
G2600010,15.129276275634766
G0101230,30.381427764892578
G4100350,25.110942840576172
G3101030,18.95199966430664
G4700730,55.00743103027344
G1300570,28.448928833007812
G1301750,17.152917861938477
G4200310,54.438026428222656
G4802750,27.42034912109375
G4500550,19.957185745239258
G1700970,61.29043197631836
G5300130,66.18553161621094
G2801250,28.7534236907959
G4601250,48.8962516784668
G2800270,37.20607376098633
G4701310,68.6575698852539
G0600290,28.601835250854492
G3300110,31.5549373626709
G3550055,28.391765594482422
G1800630,60.100502014160156
G2701570,62.80610275268555
G5100350,41.59877014160156
G3900190,61.93758010864258
G0100790,50.2796745300293
G2600930,29.15784454345703
G1300210,22.522226333618164
G0800530,35.64549255371094
G4600090,45.92965316772461
G5000070,38.12913131713867
G3701670,56.92233657836914
G2300050,35.06767272949219
G2601030,31.78382682800293
G0801110,36.56119918823242
G5300010,63.412723541259766
G1000050,22.569202423095703
G3601010,65.2889404296875
G3901290,60.662445068359375
G3101470,56.455753326416016
G3400270,39.328819274902344
G2102070,63.33618927001953
G4803530,29.49297523498535
G5100210,53.62431335449219
G4600790,54.35451889038086
G4500490,17.676420211791992
G4100470,50.66912841796875
G4059075,42.14913558959961
G0501190,45.48222732543945
G1701710,61.42500686645508
G2000270,55.002262115478516
G0101330,40.811256408691406
G2601530,14.26844310760498
G2000970,41.76237869262695
G0600870,32.94269561767578
G4800050,32.83646774291992
G4804150,30.257461547851562
G5500450,59.08494567871094
G4801270,25.428468704223633
G2200170,36.291053771972656
G1301250,20.20185089111328
G0500050,60.995174407958984
G3901270,61.80534744262695
G4804750,24.883142471313477
G1800370,66.79193878173828
G0100590,36.04398727416992
G0501390,44.47394561767578
G1200570,5.5300068855285645
G5400510,64.28675079345703
G1303110,28.553146362304688
G3900670,61.21682357788086
G2801290,33.919715881347656
G5100970,27.824893951416016
G5501130,48.109310150146484
G5400130,58.95216369628906
G2001130,54.854854583740234
G5101470,32.930015563964844
G4804730,24.381710052490234
G4800770,40.31370544433594
G3900630,54.61781311035156
G4701710,41.168113708496094
G5300310,42.24288558959961
G4801350,30.954126358032227
G5000010,40.14948272705078
G2601350,9.084436416625977
G0501370,48.090065002441406
G3701790,56.146087646484375
G4601110,39.7576789855957
G4500690,23.028541564941406
G1789175,66.85485076904297
G4500290,17.105215072631836
G3900070,62.75419616699219
G1600430,43.804012298583984
G3100110,55.16096496582031
G3801010,39.98800277709961
G3900810,60.56242752075195
G4500890,19.896833419799805
G4201150,60.71167755126953
G5400090,61.72071075439453
G3701230,50.15925598144531
G0900050,34.49300003051758
G2800230,33.060672760009766
G4800350,32.59910202026367
G2901550,39.816253662109375
G4201210,52.952735900878906
G3901330,60.9443473815918
G4050275,36.73273468017578
G3800470,39.27616882324219
G3900150,67.008270263671875
G1700870,64.69722747802734
G1302310,22.212995529174805
G2001430,55.50871658325195
G1302350,17.401304244995117
G1801830,57.672157287597656
G4801070,28.388513565063477
G4700470,67.15064239501953
G3600070,65.0179443359375
G1300190,15.39853286743164
G1700690,63.22640609741211
G4500470,32.014434814453125
G2701230,36.33110427856445
G1901110,54.76881790161133
G3901470,52.669212341308594
G3900550,64.92058563232422
G1701690,62.4315071105957
G1600570,66.95099639892578
G3700090,39.31095886230469
G2700070,21.850252151489258
G1302390,18.22376251220703
G0800670,34.11744689941406
G4700750,69.48126220703125
G1700750,51.642845153808594
G2300190,51.17867660522461
G1300330,17.12513542175293
G4600830,55.992374420166016
G5400150,51.327598571777344
G3900930,58.6524543762207
G3600390,59.46908950805664
G2101530,48.56708908081055
G1301230,33.01337814331055
G4803050,30.38972282409668
G3800570,40.7897834777832
G1701990,64.85114288330078
G4800690,29.777694702148438
G2200930,29.68709373474121
G0450155,30.150978088378906
G1701210,66.57334899902344
G3101530,55.476173400878906
G1901910,59.5677375793457
G2200510,41.07472229003906
G1700030,57.1502571105957
G4201030,48.36580276489258
G2001550,31.31035614013672
G1901390,54.59916305541992
G4500350,26.618574142456055
G3100810,64.35746002197266
G0500390,51.57404708862305
G5500530,28.271608352661133
G3400330,35.802146911621094
G4802090,30.335107803344727
G4804790,22.665048599243164
G1301670,15.40768051147461
G1801570,60.166446685791016
G3700510,16.10740089416504
G3550435,32.51761245727539
G5101150,29.725074768066406
G3701250,28.011165618896484
G2102010,52.78586959838867
G4803630,28.06239128112793
G3901710,53.899871826171875
G0500770,57.57162094116211
G4900510,35.47914505004883
G2001530,67.5089340209961
G1302710,16.514530181884766
G2800890,61.54420852661133
G4700070,47.28900909423828
G2901950,65.08892822265625
G2000750,56.097572326660156
G4801490,26.768373489379883
G5400250,54.90589904785156
G2900350,67.010589599609375
G2101270,52.45440673828125
G1700490,67.12645721435547
G2902130,67.79380798339844
G4800930,22.33456802368164
G1302950,53.89743423461914
G4801310,27.460983276367188
G2601270,10.482471466064453
G2801190,39.63957214355469
G3101810,61.79197311401367
G2200330,62.894752502441406
G0450275,29.86600685119629
G0600230,36.701072692871094
G2001990,62.18286895751953
G0800170,42.752437591552734
G2701150,33.21725845336914
G2101490,65.72027587890625
G2200650,33.46913146972656
G2100350,66.65145111083984
G4800710,36.825618743896484
G2101310,55.66666793823242
G4801410,32.5052490234375
G3901670,58.85763931274414
G1701850,62.03131103515625
G4500750,17.119264602661133
G3701850,29.203454971313477
G4400090,36.14487838745117
G5500150,52.77788162231445
G1901310,45.04312515258789
G3000070,39.7085075378418
G2600170,25.247053146362305
G4804990,25.259443283081055
G4600350,42.88462448120117
G1900810,45.01332092285156
G2200230,21.72419548034668
G5500130,21.173864364624023
G2600830,29.106666564941406
G3100630,69.3515625
G4600490,40.795074462890625
G5000170,42.703590393066406
G0500350,39.76888656616211
G5501410,45.69478225708008
G3601190,35.839725494384766
G2100730,57.76128005981445
G2400010,52.8292121887207
G4800590,29.191171646118164
G4803570,47.11919021606445
G3901110,59.08055877685547
G1901330,61.776336669921875
G4900330,45.3383674621582
G2201150,41.97494125366211
G0100650,34.98491668701172
G4100490,51.9946403503418
G3900170,59.82502365112305
G2100530,59.077186584472656
G4200590,67.733978271484375
G3200310,30.930360794067383
G4200810,50.71574020385742
G3101330,42.82685852050781
G3701310,23.982318878173828
G4801250,25.62351417541504
G2300150,48.34850311279297
G4400030,36.93992614746094
G1800190,65.917205810546875
G1800150,61.70304870605469
G2101750,60.321407318115234
G1701170,63.10548400878906
G4700410,64.104217529296875
G2001330,59.514339447021484
G1700070,62.53593063354492
G4701890,52.108612060546875
G2900930,66.2940902709961
G2001570,60.37993621826172
G3700570,40.08137512207031
G4804050,25.615623474121094
G3700310,20.727882385253906
G5300210,41.09799575805664
G0500670,52.11701202392578
G2800610,31.9339542388916
G2102090,58.232757568359375
G2001710,59.93492126464844
G1600270,49.40021896362305
G2300250,55.22978210449219
G2900170,65.798492431640625
G3900030,56.5104866027832
G5100570,29.177379608154297
G3900730,61.303314208984375
G3100830,67.5539321899414
G4700590,54.75654983520508
G0500550,60.8281135559082
G1301410,23.808748245239258
G1302930,24.679386138916016
G4900190,34.56318283081055
G3901450,66.33162689208984
G3800890,40.45078659057617
G2100190,58.491119384765625
G4800210,24.00029754638672
G2801030,43.944515228271484
G4801570,30.87931251525879
G2002070,57.71609878540039
G3100090,6.643025875091553
G5101010,29.007822036743164
G5400950,59.22850799560547
G2100210,59.69680404663086
G1701790,56.49440002441406
G2001390,58.661651611328125
G2000450,53.70148849487305
G3101710,5.89328145980835
G1302150,17.41766357421875
