GISJOIN,sand_mean
G4700990,16.711759567260742
G3101630,23.857789993286133
G2100770,11.7034912109375
G4100550,23.07608413696289
G2900810,27.377931594848633
G4803190,47.381038665771484
G1200090,91.18438720703125
G1700130,19.641765594482422
G2700910,31.589853286743164
G5100850,56.943511962890625
G2000650,24.36351776123047
G1301030,78.3458251953125
G5300490,25.449331283569336
G2200890,18.300668716430664
G2701590,74.234619140625
G4900270,40.530853271484375
G0500510,37.87055969238281
G2600370,45.61558151245117
G4804670,49.21434020996094
G3101610,72.49617767333984
G0500370,17.26482391357422
G2900290,15.216865539550781
G3000090,36.006893157958984
G2900450,29.26898956298828
G4100510,29.97718048095703
G0500570,32.57782745361328
G2700350,67.19903564453125
G4801370,24.014633178710938
G2000470,52.70881652832031
G0100090,38.49748611450195
G2900710,20.374753952026367
G1300550,26.922754287719727
G5500390,21.724014282226562
G3101510,17.027286529541016
G3100530,20.415958404541016
G5000250,41.399818420410156
G4700670,24.046545028686523
G4500510,71.790008544921875
G3701650,74.01798248291016
G0450035,37.52756118774414
G2800430,25.710039138793945
G2902290,16.302244186401367
G4200490,27.361026763916016
G3809055,39.742881774902344
G2601470,34.508705139160156
G4804210,33.01801681518555
G1800850,49.76255416870117
G2901350,15.678272247314453
G0600770,41.10587692260742
G1201270,90.93202209472656
G1901770,25.46084213256836
G5100870,58.10523986816406
G2000150,12.2327241897583
G5300190,39.01337814331055
G0100010,57.409156799316406
G4100670,17.354568481445312
G3100130,55.24022674560547
G1800610,16.194307327270508
G4200970,31.002763748168945
G1700330,21.330059051513672
G3101690,16.245161056518555
G2800710,41.200931549072266
G4800170,60.08572006225586
G5100690,26.83048439025879
G3300050,49.62281799316406
G3700030,44.88814926147461
G2100110,16.40376853942871
G5101910,22.926979064941406
G1800910,54.227718353271484
G2801390,38.397518157958984
G4201090,33.5916748046875
G5400930,30.03207778930664
G1301910,47.65077590942383
G5100430,20.95950698852539
G4700450,18.115755081176758
G2300170,54.95431137084961
G4803890,35.54779815673828
G2500070,77.08830261230469
G0501010,39.820281982421875
G2100510,26.140928268432617
G1200030,90.82331848144531
G4800430,30.921133041381836
G3700290,52.32273864746094
G2601550,48.103885650634766
G1800130,19.938961029052734
G5300055,24.463857650756836
G3100590,14.075748443603516
G0600390,55.365989685058594
G2101190,31.31309700012207
G5400770,27.391918182373047
G0600790,39.81300735473633
G5000050,42.19743728637695
G3701450,37.150325775146484
G4801890,29.870994567871094
G5300570,47.894248962402344
G5300550,38.465328216552734
G3101270,15.039830207824707
G3901630,20.128292083740234
G2600010,78.1753158569336
G0101230,46.418582916259766
G4100350,61.71358108520508
G3101030,71.10822296142578
G4700730,24.707685470581055
G1300570,48.50458526611328
G1301750,73.06175231933594
G4200310,29.621028900146484
G4802750,33.80191421508789
G4500550,69.9135513305664
G1700970,17.336267471313477
G5300130,19.50827407836914
G2801250,23.301246643066406
G4601250,24.232004165649414
G2800270,23.097665786743164
G4701310,17.188161849975586
G0600290,54.668941497802734
G3300110,58.474884033203125
G3550055,51.67285919189453
G1800630,19.422744750976562
G2701570,21.21115493774414
G5100350,37.44941329956055
G3900190,21.53706169128418
G0100790,30.710208892822266
G2600930,56.84918975830078
G1300210,61.3122673034668
G0800530,45.949344635009766
G4600090,29.907014846801758
G5000070,45.2845344543457
G3701670,21.78620719909668
G2300050,55.08773422241211
G2601030,60.186737060546875
G0801110,46.52579116821289
G5300010,23.219247817993164
G1000050,68.50638580322266
G3601010,20.56192398071289
G3901290,18.542070388793945
G3101470,14.51038932800293
G3400270,46.54523468017578
G2102070,18.905431747436523
G4803530,31.429933547973633
G5100210,29.25450897216797
G4600790,16.948068618774414
G4500490,70.43919372558594
G4100470,27.593891143798828
G4059075,46.52280807495117
G0501190,33.82563781738281
G1701710,19.925357818603516
G2000270,19.156469345092773
G0101330,46.2498664855957
G2601530,80.2273941040039
G2000970,46.77763748168945
G0600870,52.24689865112305
G4800050,46.247901916503906
G4804150,39.98261642456055
G5500450,25.091907501220703
G4801270,45.56256103515625
G2200170,38.560298919677734
G1301250,69.0445556640625
G0500050,23.851943969726562
G3901270,19.12944984436035
G4804750,61.25421142578125
G1800370,19.231550216674805
G0100590,48.49889373779297
G0501390,40.680885314941406
G1200570,90.49064636230469
G5400510,18.547813415527344
G1303110,45.46514129638672
G3900670,20.033100128173828
G2801290,47.964500427246094
G5100970,61.37959671020508
G5501130,40.72306823730469
G5400130,18.301607131958008
G2001130,20.32700538635254
G5101470,43.604732513427734
G4804730,57.181190490722656
G4800770,38.44809341430664
