GISJOIN,sand_mean
G2100790,14.53503704071045
G0100030,60.279903411865234
G1302690,74.375
G2001410,21.089231491088867
G2101050,17.98592758178711
G5400390,36.11698913574219
G5000090,43.78114700317383
G0450177,47.528717041015625
G4803090,23.865718841552734
G3100670,15.716285705566406
G4803910,44.433589935302734
G3101670,29.380640029907227
G4200190,29.73702621459961
G3100210,13.49710750579834
G2600490,47.631507873535156
G1302090,73.79010009765625
G3550255,39.025577545166016
G2100050,10.525443077087402
G3600270,31.744966506958008
G3701110,43.845733642578125
G2700030,78.27242279052734
G4802130,59.675716400146484
G0600790,40.38877868652344
G1900370,38.37017822265625
G4804690,47.297664642333984
G5500030,40.27875518798828
G3101095,39.100303649902344
G1300395,45.01232147216797
G3600110,27.842823028564453
G3701790,21.32240867614746
G1801790,15.36056900024414
G2102330,15.95366096496582
G4800970,37.075809478759766
G1701430,17.9111270904541
G2601570,61.22169494628906
G2001950,24.705951690673828
G2101070,17.865442276000977
G5501370,71.88087463378906
G3701970,42.914894104003906
G4701610,17.276592254638672
G5500710,31.325145721435547
G5500790,16.172372817993164
G1701590,18.47840690612793
G2700670,27.407817840576172
G3701330,74.78131103515625
G2800570,48.16426467895508
G2600230,56.549354553222656
G0450155,46.9711799621582
G0600750,70.4341812133789
G1200190,90.61725616455078
G4500110,77.67206573486328
G2900090,16.655698776245117
G2200235,19.852108001708984
G5500390,21.724014282226562
G4701650,14.463709831237793
G4804930,63.89304733276367
G5501270,22.04904556274414
G4800930,54.17829132080078
G1801450,18.47650146484375
G2901070,14.330323219299316
G4950435,35.996063232421875
G1302330,28.30600929260254
G3701390,47.57811737060547
G5100470,29.961376190185547
G2000570,25.889976501464844
G2600170,68.96649169921875
G3900990,21.97328758239746
G2200050,19.930625915527344
G5400970,29.966142654418945
G1303110,45.459136962890625
G2900170,18.42917251586914
G0600050,41.91232681274414
G3600750,49.360023498535156
G3900710,18.0476016998291
G2200090,20.27880096435547
G1801370,17.042158126831055
G2101490,14.834911346435547
G5500310,51.27340316772461
G1701350,16.457721710205078
G5100750,47.04737854003906
G3050035,29.463090896606445
G1900590,32.62699508666992
G4201330,23.037168502807617
G2102350,27.75941276550293
G0601050,49.74773025512695
G4100110,34.05506896972656
G1700190,15.180800437927246
G2101910,9.859758377075195
G3109015,27.710250854492188
G3900370,16.89638900756836
G4803310,46.06092071533203
G1701050,14.687191009521484
G4803950,65.00676727294922
G0100930,53.326995849609375
G4802810,30.482864379882812
G0600270,54.38387680053711
G4200370,29.814802169799805
G5101350,50.56890106201172
G0950975,15.278870582580566
G2100490,14.141189575195312
G5400830,28.563247680664062
G4801970,36.734561920166016
G5100010,51.49924087524414
G2901730,17.629852294921875
G5101750,58.308345794677734
G2900670,20.930681228637695
G1901710,15.641590118408203
