GISJOIN,sand_mean
G4201210,34.477699279785156
G1901970,28.937480926513672
G1302910,48.462276458740234
G4801810,30.616371154785156
G2200710,20.31524085998535
G4802450,23.23625373840332
G2201130,15.687039375305176
G3900110,17.582786560058594
G2900050,13.711810111999512
G5101450,48.702274322509766
G2101070,17.865442276000977
G1901730,18.279329299926758
G5350055,35.459999084472656
G4701510,34.33631896972656
G3700610,71.36882019042969
G4802170,28.336023330688477
G5101050,27.424755096435547
G4700590,25.140472412109375
G1800430,17.184553146362305
G3600750,49.360023498535156
G3400310,46.13345718383789
G2400190,38.7021369934082
G2400390,42.89702224731445
G5100350,37.44941329956055
G3701510,29.297313690185547
G3701570,44.98729705810547
G1800590,17.275856018066406
G3900330,14.764813423156738
G2902070,28.89389419555664
G2701535,30.405345916748047
G1000010,56.47193908691406
G2600990,40.88794708251953
G1300390,52.133113861083984
G4700150,15.701875686645508
G5500390,21.724014282226562
G3701230,29.441207885742188
G5100370,42.586456298828125
G5350215,36.7224235534668
G3900030,18.56902503967285
G5101010,58.78220748901367
G1900930,13.419402122497559
G2901010,18.918909072875977
G1700670,17.177093505859375
G2200510,21.335445404052734
G2200090,20.27880096435547
G5501050,22.182584762573242
G2701450,56.15812683105469
G2901190,16.98988151550293
G5500150,26.062685012817383
G2901610,22.47563934326172
G2601290,71.883880615234375
G1301690,53.826168060302734
G5501310,25.296342849731445
G4800890,58.467735290527344
G0501150,42.32197952270508
G4802670,26.235111236572266
G5000210,38.34349060058594
G3150575,25.627103805541992
G5100630,34.730464935302734
G4701450,23.864967346191406
G2200130,55.60941696166992
G4800230,30.85273551940918
G5101310,54.144168853759766
G3600430,41.993080139160156
G5101835,19.524574279785156
G4804850,36.61906051635742
G2100050,10.525443077087402
G0101230,46.90193557739258
G2050455,19.744237899780273
G0600950,27.4195556640625
G4802910,34.07188034057617
G1900490,28.61615562438965
G3400230,55.27921676635742
G3701970,42.914894104003906
G4200270,38.695281982421875
G1800750,16.48232078552246
G5101390,33.377227783203125
G5500490,25.388824462890625
G4804170,25.534894943237305
G3550555,45.2819709777832
G2400410,34.64297866821289
G2901870,16.746126174926758
G3700890,43.0916633605957
G5000050,42.175140380859375
G3600210,32.653343200683594
G0500490,21.74577522277832
G4200330,32.58018493652344
G2800490,18.374378204345703
G3150135,15.854757308959961
G0101010,38.84050369262695
G4803510,54.494300842285156
G2200570,18.09457778930664
G1301250,68.793243408203125
G2102390,13.655295372009277
G4804573,43.96006393432617
G2900490,21.547632217407227
G1301350,46.97344207763672
G2900290,15.221240043640137
G4700890,19.65949821472168
G1701770,17.184829711914062
G0500010,17.245269775390625
G3701590,42.46238708496094
G2900730,18.740449905395508
G2901570,18.82110023498535
G1901770,25.46084213256836
G1302050,74.825439453125
G1801350,16.788965225219727
G1901830,17.58901596069336
G2700250,55.56013107299805
G0501270,37.797691345214844
G3701390,47.57811737060547
G1801290,17.924789428710938
G1300010,80.28038024902344
G1300650,85.68705749511719
G2701545,36.69410705566406
G5101437,26.5651912689209
G1901750,18.94661521911621
G2900530,16.004093170166016
G4700610,33.85637664794922
G2901690,16.71221923828125
G1700010,17.846038818359375
G1300710,77.08748626708984
G5500770,68.3638687133789
G4800655,68.98246765136719
G2801130,40.31382751464844
G1301410,53.23046875
G4950375,40.56955337524414
G1800250,18.888158798217773
G5100775,28.197174072265625
G3150535,21.28607749938965
G2902190,20.063030242919922
G5500235,39.518333435058594
G5101290,48.1585807800293
G5101557,28.683826446533203
G0600790,40.09283447265625
G1900790,28.02149772644043
G2300010,54.94108581542969
G0500430,28.812660217285156
G4801310,53.65847396850586
G2400470,56.953643798828125
G1201090,90.93927764892578
G4201150,25.047975540161133
G3701890,46.28164291381836
G2701370,54.235008239746094
G2101330,29.976333618164062
G1701190,17.2451229095459
G1800870,54.39600372314453
G5101130,30.844261169433594
G4500510,71.790008544921875
G5500030,42.39094543457031
G0100890,20.77244758605957
G1302230,48.19171142578125
G3901170,18.320985794067383
G3600470,NA
G3601170,33.59817123413086
G3700190,70.521881103515625
G3900750,21.801111221313477
G2500150,52.916961669921875
G5100870,57.94963073730469
G4804030,49.537254333496094
G4500450,47.9048957824707
G3701290,70.2818832397461
G3150215,20.24882698059082
G5100750,47.04737854003906
G3701950,73.671173095703125
G4800550,35.67864227294922
G3600970,20.666568756103516
G4500570,44.47992706298828
G2701410,79.0119400024414
G3300190,49.40396499633789
G5500450,25.091907501220703
G2050415,15.074125289916992
G5500110,36.96894073486328
G3600330,52.79802703857422
G3150255,17.517303466796875
G2100790,14.53503704071045
G2101490,14.834911346435547
G3600170,21.745323181152344
G1301590,46.58312225341797
G4701070,20.778366088867188
G4200450,19.363380432128906
G2050355,17.888757705688477
G2050735,16.80626678466797
G2200490,51.89353561401367
G3600410,46.1059684753418
G1801790,15.36056900024414
G1800070,17.99352264404297
G2600250,57.09360885620117
G2101030,12.00717544555664
G3701630,69.37047576904297
G1901490,13.058954238891602
G4700730,24.84895896911621
G1303210,75.3766860961914
G5500230,28.077184677124023
G2050797,29.169172286987305
G4700210,16.651653289794922
G1900770,22.362098693847656
G3150695,55.45310974121094
G4804790,42.900001525878906
G1800150,21.054195404052734
G2601570,61.22169494628906
G1300830,38.738731384277344
G4100570,28.93906593322754
G1801710,16.85227394104004
G2801290,47.964500427246094
G3900790,23.604097366333008
G5100530,50.137821197509766
G2700050,63.74103927612305
G1701170,16.983396530151367
G3150595,26.082120895385742
G1901070,17.881744384765625
G4800490,35.81892776489258
G3701190,45.584686279296875
G5100010,51.49924087524414
G5101370,24.183191299438477
G3150635,17.027286529541016
G3700310,69.64013671875
G1801090,22.338594436645508
G4500850,71.41230010986328
G4802410,50.591712951660156
G2400110,57.83160400390625
G1701010,19.036487579345703
G2800510,20.398916244506836
G0501290,29.767749786376953
G2901050,16.1449031829834
G4500390,44.92015075683594
G0501170,20.03694725036621
G5101330,60.84482192993164
G0501430,34.181434631347656
G3701990,44.82482147216797
G2300210,30.575037002563477
G0100130,50.65291213989258
G1700290,16.518604278564453
G0100910,34.85674285888672
G2600070,65.53898620605469
G4100390,29.800579071044922
G5500250,24.47846031188965
G0500470,38.73936462402344
G2050755,13.213698387145996
G5101730,27.739351272583008
G2901770,16.36142349243164
G2100150,12.676716804504395
G2900190,23.411645889282227
G0500190,31.7684268951416
G2701335,15.81212043762207
G0500130,26.81398582458496
G5101530,33.8770866394043
G1900310,15.847921371459961
G1801750,16.996139526367188
G4803250,38.12309265136719
G4700710,27.524065017700195
G1302490,76.28688049316406
G1901690,31.63141632080078
G4800370,33.851036071777344
G1300270,76.45452880859375
G4804670,49.09414291381836
G2900630,26.45461654663086
G4800950,24.020578384399414
G4701790,29.950815200805664
G5500350,59.349666595458984
G2701530,68.16282653808594
G2800230,46.562095642089844
G5100850,56.943511962890625
G1800890,44.31019592285156
G5500590,21.159730911254883
G4801410,43.98200607299805
G3700030,44.88814926147461
G5350175,55.89190673828125
G3901590,15.545287132263184
G1701730,16.451404571533203
G4801770,50.82280349731445
G1901470,31.242326736450195
G2801270,47.31056213378906
G4200930,27.681215286254883
G5000030,36.86446762084961
G1301910,57.351200103759766
G3700950,50.51606750488281
G1901290,14.545061111450195
G4950535,45.04946517944336
G2600770,54.91986083984375
G1200230,90.02363586425781
G1900690,28.339977264404297
G5100297,18.30159568786621
G1200830,91.21524810791016
G1201070,90.90850830078125
G3900430,31.262067794799805
G3900410,15.032343864440918
G1800190,16.715898513793945
G2900670,22.20454978942871
G3600490,48.192787170410156
G0500270,40.35098648071289
G4804190,55.693763732910156
G5101210,22.448867797851562
G5101550,26.06523895263672
G1701590,18.47840690612793
G5101593,18.22475242614746
G5500270,20.53334617614746
G1900090,14.813218116760254
G3900050,19.63878059387207
G3601110,26.319324493408203
G3400070,71.25257110595703
G3400170,39.58845520019531
G4701130,23.451038360595703
G1100010,39.560550689697266
G5101175,22.943078994750977
G1701330,17.78276824951172
G1800570,17.969682693481445
G4800050,46.247901916503906
G5100857,18.477005004882812
G3600070,20.85702133178711
G2601250,60.93406295776367
G3700670,45.18543243408203
G3600930,23.132261276245117
G5501210,40.27029800415039
G2601070,74.64153289794922
G2100470,16.333234786987305
G4803210,38.446807861328125
G1900850,15.671855926513672
G2600210,48.75916290283203
G1800330,22.16969871520996
G2902110,30.38432502746582
G4200970,31.002763748168945
G4700010,25.043973922729492
G2601190,80.94938659667969
G4201330,23.037168502807617
G1200895,90.469451904296875
G3600550,29.774770736694336
G1701210,18.02861976623535
G2600670,53.609161376953125
G4800150,50.303524017333984
G3901250,21.252756118774414
G2600630,47.87477493286133
G5101555,35.16058349609375
G4700910,36.645904541015625
G0101170,31.799381256103516
G4200210,34.55173873901367
G1800650,17.70940399169922
G3400030,43.11563491821289
G2800330,19.477209091186523
G2901450,16.7083797454834
G1900990,17.696121215820312
G0600710,64.06368255615234
G2101350,19.904569625854492
G3900570,19.243478775024414
G2700530,43.882381439208984
G2700930,42.00354766845703
G1700690,14.080622673034668
G3150055,18.077404022216797
G2901730,17.629852294921875
G5101810,55.066951751708984
G5100890,48.88679504394531
G5101433,18.4360294342041
G2300250,32.47062683105469
G3600990,22.47972297668457
G4500270,71.457611083984375
G3550435,43.43636703491211
G3600510,22.509275436401367
G3600290,20.855531692504883
G2050075,20.497671127319336
G2700955,47.68935012817383
G5350015,22.547168731689453
G4500830,47.832679748535156
G5101690,22.505678176879883
G5101455,27.391918182373047
G3901510,25.22136688232422
G2800410,49.81006622314453
G1701490,18.252534866333008
G3700370,37.820003509521484
G5100990,60.95225143432617
G4804470,25.1153507232666
G5101190,58.32469940185547
G2500010,82.40677642822266
G2800110,19.74360466003418
G2900170,18.42917251586914
G3600370,23.052371978759766
G5100250,50.93466567993164
G3900690,31.040267944335938
G1200470,90.048583984375
G3150315,41.78340148925781
G2800890,23.94355010986328
G3700510,74.954345703125
G4500870,45.92030715942383
G2100030,16.496013641357422
G1301170,47.645294189453125
G1901850,26.0926456451416
G5100450,40.870479583740234
G4200810,33.97488784790039
G3900590,17.070497512817383
G1700450,16.226512908935547
G0101270,36.81425476074219
G2200650,20.091541290283203
G1800810,20.299152374267578
G3900450,20.112863540649414
G0500310,19.918163299560547
G3700970,44.67388916015625
G2050215,14.07770824432373
G0600150,43.95264434814453
G1701670,16.637165069580078
G1302810,47.12958526611328
G5000170,44.30275344848633
G2100610,17.882383346557617
G1300210,60.253028869628906
G3900910,17.32577896118164
G2701630,42.31636047363281
G4700090,30.625049591064453
G0500930,24.08710289001465
G2700155,54.4443244934082
G3901370,21.280040740966797
G3400330,53.08032989501953
G2100430,19.342905044555664
G2901950,14.964624404907227
G3900630,18.876420974731445
G0600750,69.52519989013672
G2101790,14.519657135009766
G4701830,19.787120819091797
