GISJOIN,silt_mean
G5101190,28.91897964477539
G3701390,34.97567367553711
G4200950,52.25152587890625
G3900730,62.39617156982422
G2800910,33.84536361694336
G1800695,41.427207946777344
G2300050,35.2005729675293
G3901190,61.7795524597168
G3701250,28.011165618896484
G3700310,20.66571044921875
G1800270,61.763404846191406
G2950035,63.25653839111328
G4500450,28.009078979492188
G5101290,34.84889602661133
G5100970,27.824893951416016
G2500030,45.98952865600586
G3700510,16.61835289001465
G0100010,29.11658477783203
G5101650,51.04325485229492
G3701350,41.23392868041992
G2300290,50.596290588378906
G3700530,26.09467315673828
G2200250,47.8703498840332
G2400250,58.517173767089844
G4200190,53.67729568481445
G2300250,57.92905044555664
G2200870,13.084900856018066
G4500390,30.672931671142578
G5100310,39.95174789428711
G3600750,38.51841735839844
G4700250,58.533226013183594
G3600850,49.814788818359375
G3400030,41.52768325805664
G2101210,60.70686340332031
G5101010,29.007822036743164
G1301950,22.279422760009766
G0900150,32.47266387939453
G5100290,45.301143646240234
G4201010,62.66657257080078
G1300010,10.69698715209961
G5101790,34.17940902709961
G3600870,44.002986907958984
G1000030,56.58591842651367
G4700710,55.1589241027832
G3600630,61.89310073852539
G3600070,65.16226959228516
G3701090,28.47567367553711
G2650255,35.293148040771484
G1302210,24.46227264404297
G2300190,56.98102951049805
G0101150,53.08985900878906
G5101050,48.4822883605957
G5101197,56.578102111816406
G3901550,62.12419128417969
G4500910,34.617881774902344
G3700410,29.90524673461914
G3600910,37.049442291259766
G5107600,38.696380615234375
G1301330,23.57013511657715
G3700230,33.452911376953125
G2200730,43.71772384643555
G5100730,29.786449432373047
G1801770,58.4348258972168
G4200450,65.1547622680664
G1302890,19.661237716674805
G3901290,60.662445068359375
G0900030,38.73984909057617
G1701570,63.47764587402344
G3901390,63.85634231567383
G3400270,39.328819274902344
G3701530,19.78942108154297
G1801010,65.907196044921875
G4201070,49.13507843017578
G3900870,56.380455017089844
G4700570,58.82653045654297
G3700650,20.45574951171875
G4700850,65.214996337890625
G2950155,52.256988525390625
G0550377,48.23279571533203
G2800410,35.9422492980957
G0550295,37.235450744628906
G2500210,29.651073455810547
G4700990,68.1178970336914
G3701450,41.53083801269531
G1700050,65.06461334228516
G3300170,30.748676300048828
G1700550,64.99098205566406
G4500010,26.128093719482422
G4200790,57.53274917602539
G0100630,34.68564224243164
G5101850,46.717586517333984
G2200075,40.00064468383789
G1301810,33.633174896240234
G2100310,66.93946075439453
G3601070,65.33679962158203
G0101050,31.777618408203125
G2200470,41.00314712524414
G3700610,19.71660804748535
G3901670,58.60269546508789
G3701610,26.221879959106445
G3700690,25.827552795410156
G5100293,48.91280746459961
G2101830,66.72694396972656
G5101090,45.01038360595703
G2400410,51.43848419189453
G1800790,66.29424285888672
G2100090,67.20050048828125
G5000070,38.481807708740234
G4201270,59.56331253051758
G3600410,42.1950569152832
G4500510,19.10605812072754
G2101370,60.605133056640625
G3300090,35.73604965209961
G3600990,57.637908935546875
G4400050,51.1318359375
G3700810,28.83108901977539
G2100170,61.58596420288086
G3600170,64.02803039550781
G1700810,65.48846435546875
G2200070,34.23541259765625
G3600030,63.956478118896484
G1700230,60.477027893066406
