year,aate_simplified,aate_full,se_simplified,se_full,p_value_simplified,p_value_full,h_median_simplified,h_median_full,d_aate,d_aate_pct,d_h_median,h_ratio
1850,-0.13841864003517315,-0.16521083248701887,0.05203973397540234,0.05144296942409003,0.007817209779018093,0.001320284614495593,282252.2513181464,296200.5523477107,-0.02679219245184572,19.35591365804319,13948.301029564289,1.0494178557103595
1860,-0.08609153591752068,-0.07887187813140115,0.04550598969114246,0.04564032724067207,0.05850795469433211,0.08396704311771758,301249.46267367323,345604.8851713242,0.007219657786119535,-8.386025071078151,44355.42249765096,1.1472381796268918
1870,-0.3186489431595474,-0.2811431628711446,0.04780418436663088,0.04802427435427154,2.6338464007599704e-11,4.793442199400356e-9,299486.36674691876,347281.9599901036,0.03750578028840279,-11.770250959101302,47795.59324318485,1.1595918831376206
1880,-0.21201867408955322,-0.1699653692265036,0.038318831397509454,0.039197712332854656,3.147722975691562e-8,1.4503014326321642e-5,294259.84761853353,349026.05519942887,0.04205330486304962,-19.834717410451773,54766.20758089534,1.1861151224814472
1890,-0.1376515964684083,-0.09068240791865993,0.04021652871256531,0.040618296830015756,6.198838220141974e-4,0.02557858681733228,339894.6228414127,413750.12624314876,0.04696918854974837,-34.121789906394596,73855.50340173603,1.2172894139493209
1900,-0.11154433017895655,-0.07042360403521115,0.04090995147394646,0.03938083607390014,0.006399408353524575,0.07373230881908459,353253.07690491574,435354.78894027614,0.0411207261437454,-36.864918259649066,82101.7120353604,1.2324161271423533
