GISJOIN,ruggedness_mean
G0100790,1.472403645515442
G0100090,2.618438720703125
G0101330,2.9308204650878906
G0100650,1.3473687171936035
G0100030,0.7141712307929993
G0100930,2.4715378284454346
G0100330,2.125896692276001
G0100890,1.5234479904174805
G0100710,2.962646007537842
G0100490,1.8956222534179688
G0100970,0.7867160439491272
G0101250,2.450713872909546
G0100450,1.3227641582489014
G0100310,1.293897271156311
G0100190,1.9142050743103027
G0100610,0.7496894001960754
G0100730,3.0613937377929688
G0101190,0.9890803694725037
G0101010,0.7689418196678162
G0100910,1.100825548171997
G0100350,1.176281213760376
G0100150,2.4846889972686768
G0101050,1.6988528966903687
G0101210,2.2330732345581055
G0101130,1.175072431564331
G0100830,1.0253556966781616
G0100470,1.0220983028411865
G0101090,1.3819249868392944
G0100010,1.7128444910049438
G0101270,3.028090238571167
G0100230,1.785047173500061
G0100270,2.7153525352478027
G0100670,1.0468354225158691
G0100070,2.35205078125
G0100370,2.660646915435791
G0100630,0.9705595374107361
G0100130,1.276969313621521
G0100410,1.343192219734192
G0100770,1.6284871101379395
G0100530,0.9593609571456909
G0100950,2.0985331535339355
G0100210,1.989574909210205
G0101030,1.5701074600219727
G0100990,1.535257339477539
G0100250,1.8819671869277954
G0100390,1.1337785720825195
G0100750,1.942443609237671
G0100850,1.1369422674179077
G0100570,2.50014591217041
G0101290,0.9800111651420593
G0101310,1.345668077468872
G0100430,2.2717692852020264
G0100810,1.457888126373291
G0100110,1.1521778106689453
G0100290,3.301521062850952
G0100550,2.111490488052368
G0100170,1.4250432252883911
G0100050,1.4946284294128418
G0100510,1.5060030221939087
G0100590,2.4861326217651367
G0101230,2.011714220046997
G0101150,2.411654472351074
G0100870,1.0483157634735107
G0101110,2.347543716430664
G0101170,2.2584943771362305
G0101070,1.530795931816101
G0500570,0.7458227872848511
G0500430,0.3470989763736725
G0500610,1.558420181274414
G0501090,1.9817084074020386
G0501230,0.37414276599884033
G0500130,0.3614942729473114
G0501430,2.538367986679077
G0501310,1.95106840133667
G0500750,0.6018180251121521
G0500050,3.0981736183166504
G0500410,0.18456842005252838
G0500730,0.3764146864414215
G0501410,3.0757527351379395
G0500990,0.8485700488090515
G0500550,0.5307024121284485
G0500870,3.7039101123809814
G0501270,2.7841298580169678
G0500190,1.0494524240493774
G0500970,3.3461780548095703
G0500350,0.19186806678771973
G0501110,0.1957983672618866
G0500210,0.3645559549331665
G0500450,1.1545089483261108
G0500910,0.5942735075950623
G0500950,0.12168867886066437
G0500170,0.1812243014574051
G0500390,0.7825266122817993
G0500030,0.2550814747810364
G0500370,0.3771694004535675
G0500510,2.8633668422698975
G0500890,3.5162270069122314
G0500790,0.33208540081977844
G0500710,3.547849655151367
G0500670,0.24194642901420593
G0501010,5.004075527191162
G0500770,0.32312828302383423
G0500630,1.6749554872512817
G0500230,2.259323835372925
G0501190,1.2596381902694702
G0500010,0.198480024933815
G0501170,0.20283952355384827
G0501050,2.561629056930542
G0501030,0.9247739911079407
G0500490,1.9432414770126343
G0500110,0.5008319616317749
G0500070,2.2016613483428955
G0500930,0.1207582950592041
G0501070,0.27435022592544556
G0500830,2.0818707942962646
G0500090,3.0393686294555664
G0500310,0.25005754828453064
G0501490,2.1660852432250977
G0500330,2.811429023742676
G0500690,0.27819931507110596
G0500810,0.3730628490447998
G0500650,2.577687978744507
G0501290,4.1697163581848145
G0500590,1.695422649383545
G0500150,3.405639410018921
G0501390,0.8026877641677856
G0501250,1.9569307565689087
G0501210,1.3473039865493774
G0501370,3.9649322032928467
G0501470,0.10184112191200256
G0501450,0.8258858919143677
G0501130,3.333822011947632
G0500470,2.4831485748291016
G0500850,0.2178288698196411
G0500290,1.429134488105774
G0501350,1.9138660430908203
G0500250,0.49432894587516785
G0501150,2.842313289642334
G0500530,0.5635695457458496
G0500270,0.6649863719940186
G0501330,1.3564412593841553
G0600530,6.018991470336914
G0600910,5.98220682144165
G0600370,4.5370965003967285
G0600070,3.5560595989227295
G0600810,5.02798318862915
G0600350,2.452474355697632
G0600970,5.302316188812256
G0600690,5.6833696365356445
G0600630,5.443525791168213
G0601070,4.261543273925781
G0601150,2.673401117324829
G0600110,3.0641071796417236
G0600590,3.4114325046539307
G0600950,1.3696590662002563
G0600090,4.9330058097839355
G0601110,6.6931328773498535
G0600230,7.4255146980285645
G0600490,1.8379168510437012
G0600670,0.4593932032585144
G0600830,6.638248443603516
G0600510,5.177920341491699
G0600050,4.444672584533691
G0601090,6.477707386016846
G0600730,3.150078535079956
G0600890,5.130031108856201
G0600030,6.850503444671631
G0600450,7.533318996429443
G0600270,5.374426364898682
G0600870,6.179433345794678
G0600710,2.7175240516662598
G0600850,5.233028888702393
G0600990,2.422229051589966
G0600930,6.170693874359131
G0600750,1.937111735343933
G0600470,1.2960565090179443
G0601050,8.781061172485352
G0600430,6.0612664222717285
G0600790,4.695547580718994
G0600570,5.1113786697387695
G0600610,5.060313701629639
G0600190,4.025248050689697
G0600550,5.144277095794678
G0600010,3.998908519744873
G0601130,1.9061235189437866
G0600290,3.157766103744507
G0600170,5.172156810760498
G0600150,8.987349510192871
G0600330,6.039109706878662
G0601010,0.5354290008544922
G0600410,5.325206756591797
G0600770,0.6793315410614014
G0600130,3.3940134048461914
G0601030,4.417652606964111
G0800710,2.1712100505828857
G0800850,3.7468438148498535
G0800370,6.271368503570557
G0800150,6.321639537811279
G0801170,6.485477447509766
G0801230,0.5425689220428467
G0801030,4.7818427085876465
G0800630,0.47771862149238586
G0801090,3.93902587890625
G0800350,3.0961318016052246
G0800950,0.30690255761146545
G0800530,6.970287322998047
G0800910,5.729363918304443
G0800230,2.5381369590759277
G0800490,5.113243579864502
G0800290,3.5438084602355957
G0800610,0.2500673532485962
G0800450,6.55263090133667
G0801210,0.4607534110546112
G0800990,0.39505693316459656
G0800050,0.6075230836868286
G0800070,5.209227561950684
G0800550,2.951793909072876
G0800330,4.055886268615723
G0801150,0.4605366289615631
G0800590,4.690628528594971
G0800130,4.3909077644348145
G0800830,3.555471181869507
G0801010,1.136612057685852
G0800890,0.475643515586853
G0800730,0.4962121844291687
G0800930,3.753829002380371
G0800410,2.187701940536499
G0800870,0.501872718334198
G0800170,0.4073267877101898
G0801250,0.6512618660926819
G0801050,4.50026798248291
G0800970,7.9509806632995605
G0800430,5.255649089813232
G0800390,1.0366772413253784
G0800510,5.993972301483154
G0801130,4.178539276123047
G0801110,9.497261047363281
G0800190,7.680724620819092
G0800690,3.753730535507202
G0801070,3.490954637527466
G0800470,5.66080379486084
G0800110,0.5637198090553284
G0800270,4.55741024017334
G0800090,0.4622419774532318
G0800670,4.94271183013916
G0800210,2.520512819290161
G0800750,0.5693626999855042
G0800770,4.309154987335205
G0800650,5.595391750335693
G0900030,1.377464771270752
G0900110,1.4761850833892822
G0900050,2.4890403747558594
G0900090,1.7150212526321411
G0900130,1.6400878429412842
G0900010,1.7465083599090576
G0900070,1.7689756155014038
G0900150,1.471574068069458
G1000010,0.2266019582748413
G1000050,0.1979876458644867
G1000030,0.7830890417098999
G1100010,1.3380699157714844
G1200370,0.13138288259506226
G1200310,0.22160176932811737
G1200770,0.3414483666419983
G1201010,0.34647226333618164
G1200030,0.1276238113641739
G1200250,0.09795201569795609
G1200890,0.20203803479671478
G1201090,0.12209205329418182
G1200530,0.5656984448432922
G1200670,0.1382780522108078
G1200650,0.4881405532360077
G1200590,0.6772741079330444
G1200330,0.7458824515342712
G1200130,0.25727128982543945
G1200970,0.09963669627904892
G1200170,0.4784145951271057
G1201270,0.17718201875686646
G1201210,0.40133023262023926
G1200730,0.642848789691925
G1201070,0.29758715629577637
G1200090,0.11969466507434845
G1200230,0.2830103933811188
G1201130,0.6198114156723022
G1201330,0.43256378173828125
G1200950,0.26695191860198975
G1201190,0.2386513501405716
G1200830,0.49294382333755493
G1201050,0.2864624559879303
G1200750,0.2302009016275406
G1200070,0.20969906449317932
G1200190,0.3636680245399475
